1.50.197=карниз FLEX=3208.00=1925.00=137,17=10431=1208=872=17500=45,87=45,87=148,2=328397=1889
1.50.200=карниз=1425.00=855.00=60,92=4629=536=388=7800=20,35=20,35=65,8=145660=838
1.50.200=карниз FLEX=2848.00=1709.00=121,79=9257=1071=776=15600=40,69=40,69=131,7=291320=1676
1.50.203=карниз=2823.00=1694.00=123,48=9176=1087=785=15500=41,13=41,13=133,4=288671=1697
1.50.203=карниз FLEX=5646.00=3388.00=246,87=18352=2174=1570=30800=82,26=82,26=266,9=577342=3394
1.50.204=карниз=1378.00=827.00=58,89=4479=528=375=7600=20,35=20,35=63,7=140952=811
1.50.204=карниз FLEX=2754.00=1653.00=117,74=8957=1053=750=15100=40,69=40,69=127,3=281903=1622
1.50.205=карниз=1531.00=919.00=65,43=4974=586=416=8400=22,52=22,52=70,7=156548=900
1.50.205=карниз FLEX=3060.00=1836.00=130,82=9947=1170=832=16700=45,02=45,02=141,4=313095=1799
1.50.206=карниз=1094.00=657.00=46,76=3558=410=298=6000=15,6=15,6=50,4=111820=644
1.50.206=карниз FLEX=2186.00=1312.00=93,47=7115=822=596=12000=31,18=31,18=100,9=223640=1288
1.50.207=карниз=1524.00=915.00=65,15=4951=574=415=8400=22,08=22,08=70,3=155960=896
1.50.207=карниз FLEX=3046.00=1828.00=130,25=9902=1146=830=16700=44,16=44,16=140,7=311919=1791
1.50.210=карниз=3472.00=2084.00=148,46=11283=1306=943=19000=49,78=49,78=160,4=354880=2039
1.50.212=карниз=3558.00=2135.00=152,13=11559=1339=967=19400===164,5=363708=2090
1.50.250=карниз=2602.00=1562.00=111,25=8451=993=707=14200=37,66=37,66=120,3=266013=1529
1.50.250=карниз FLEX=5202.00=3122.00=222,45=16901=1987=1414=28400=75,32=75,32=240,5=532026=3057
1.50.253=карниз=1501.00=901.00=64,16=4882=565=408=8200=21,65=21,65=69,4=153605=882
1.50.253=карниз FLEX=3001.00=1801.00=128,33=9764=1129=816=16400=43,29=43,29=138,7=307209=1764
1.50.255=карниз=2550.00=1530.00=109,04=8278=960=693=14000=36,36=36,36=117,8=260716=1498
1.50.255=карниз FLEX=5098.00=3059.00=217,98=16556=1919=1386=27800=72,72=72,72=235,6=521432=2996
1.50.259=карниз=1378.00=827.00=58,89=4479=518=375=7600=19,92=19,92=63,7=140952=811
1.50.259=карниз FLEX=2754.00=1653.00=117,74=8957=1037=750=15100=39,82=39,82=127,3=281903=1622
1.50.260=карниз=3556.00=2134.00=152,03=11547=1338=966=19400=50,65=50,65=164,3=363413=2088
1.50.260=карниз FLEX=7109.00=4266.00=303,97=23094=2675=1932=38800=101,3=101,3=328,6=726826=4175
1.50.264=карниз=3625.00=2175.00=155=11778=1365=985=19800=51,95=51,95=167,6=370476=2129
