IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP446;CV_PRICE_1;IP_PROP670
5227;орнамент 1.60.017;1.60.017;N;ВР000002465;;491.00;483
5228;орнамент 1.60.018;1.60.018;N;ВР000002574;;303.00;299
5229;орнамент 1.60.019;1.60.019;N;ВР000002575;;1210.00;1187
5230;орнамент 1.60.108;1.60.108;N;ВР000001756;;426.00;419
5231;орнамент 1.60.109;1.60.109;N;ВР000001815;;437.00;428
5232;орнамент 1.60.110;1.60.110;N;ВР000001817;;437.00;428
5233;орнамент 1.60.001;1.60.001;N;ВР000001358;;267.00;261
5234;кессон 1.57.002;1.57.002;N;ВР001022065;;3396.00;3325
5235;кессон 1.57.003;1.57.003;N;ВР001022066;;3574.00;3501
5236;кессон 1.57.001;1.57.001;N;ВР000005512;;3129.00;3065
5237;кессон 1.57.004;1.57.004;N;ВР001022067;N;4638.00;4539
5238;купол 1.58.001;1.58.001;N;ВР000004391;;10261.00;10042
5239;капитель 1.11.001;1.11.001;N;ВР000004174;;8948.00;8757
5240;капитель 1.11.010;1.11.010;N;ВР001021828;;8103.00;7930
5241;капитель 1.11.003;1.11.003;N;ВР000001977;;11585.00;11337
5242;капитель 1.11.002;1.11.002;N;ВР000001288;N;8607.00;8423
5243;капитель 1.11.004;1.11.004;N;ВР000005449;;11585.00;11337
5244;капитель 1.11.005;1.11.005;N;ВР001003797;;5970.00;5846
5245;капитель 1.11.006;1.11.006;N;ВР001003798;;6671.00;6529
5246;капитель 1.11.008;1.11.008;N;ВР001021826;N;6740.00;6596
5247;капитель 1.11.009;1.11.009;N;ВР001021827;;6710.00;6568
5248;капитель 1.15.002;1.15.002;N;ВР000001227;;3674.00;3596
5249;капитель 1.15.003;1.15.003;N;ВР000001871;;5167.00;5057
5250;капитель 1.15.004;1.15.004;N;ВР001002928;;5167.00;5057
5251;капитель 1.15.005;1.15.005;N;ВР000004376;;2680.00;2623
5252;капитель 1.15.006;1.15.006;N;ВР001000031;;2980.00;2917
5253;капитель 1.15.008;1.15.008;N;ВР001005249;;3373.00;3301
5254;капитель 1.15.001;1.15.001;N;ВР000001187;;3788.00;3707
5255;капитель 1.15.009;1.15.009;N;ВР001005243;;3353.00;3285
5256;капитель 1.15.010;1.15.010;N;ВР001005247;;4055.00;3970
5257;капитель 1.21.003;1.21.003;N;ВР000001301;;2306.00;2259
5258;капитель 1.21.001;1.21.001;N;ВР000001181;;2072.00;2029
5259;капитель 1.21.002;1.21.002;N;ВР000001178;;2635.00;2581
5260;капитель 1.21.004;1.21.004;N;ВР000001444;;2411.00;2358
5261;капитель 1.21.005;1.21.005;N;ВР000002089;;2598.00;2543
5262;капитель 1.21.006;1.21.006;N;ВР000001927;;2461.00;2410
