IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;IC_GROUP0;IC_GROUP1;IC_GROUP2
4789;карниз;2000;;;;1.50.107;108;148;;;;;Нет;ВР000005326;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4790;карниз;2000;;;;1.50.109;188;84;;;;;Нет;ВР000002930;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4791;карниз;2000;;;;1.50.110;192;162;;;;;Нет;ВР000002931;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4792;карниз;2000;;;;1.50.111;113;116;;;;;Нет;ВР000001285;;4,50;82,80;;;;;Интерьерный декор;карнизы;
4793;карниз;2000;;;;1.50.112;38;76;;;;;Нет;ВР000001043;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4794;карниз;2000;;;;1.50.113;80;84;;;;;Нет;ВР000001044;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4795;карниз;2000;;;;1.50.123;30;30;;;;;Нет;ВР000001718;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4796;карниз;2000;;;;1.50.124;57;115;;;;;Нет;ВР000001972;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4797;карниз;2000;;;;1.50.125;87;91;;;;;Нет;ВР000002129;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4798;карниз;2000;;;;1.50.126;95;91;;;;;Нет;ВР001003726;;4,00;72,50;;;;;Интерьерный декор;карнизы;
4799;карниз;2000;;;;1.50.127;47;90;;;;;Нет;ВР000002929;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4800;карниз;1970;;;;1.50.128;66;145;;;;;Нет;ВР000002329;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4801;карниз;2000;;;;1.50.129;75;86;;;;;Нет;ВР000005168;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4802;карниз;2000;;;;1.50.130;30;32;;;;;Нет;ВР000001049;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4803;карниз;2000;;;;1.50.131;135;60;;;;;Нет;ВР000001081;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4804;карниз;2000;;;;1.50.132;117;216;;;;;Нет;ВР000001050;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4805;карниз;2000;;;;1.50.133;115;120;;;;;Нет;ВР000001076;;4,50;82,80;;;;;Интерьерный декор;карнизы;
4806;карниз;2000;;;;1.50.134;194;150;;;;;Нет;ВР000001051;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4807;карниз;2000;;;;1.50.135;161;41;;;;;Нет;ВР000001303;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4808;карниз;2000;;;;1.50.136;62;166;;;;;Нет;ВР000002167;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4809;карниз;2000;;;;1.50.137;183;190;;;;;Нет;ВР000001827;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4810;карниз;2000;;;;1.50.138;156;161;;;;;Нет;ВР000002343;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4811;карниз;2000;;;;1.50.139;98;98;;;;;Нет;ВР000006023;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4812;карниз;2000;;;;1.50.140;57;58;;;;;Нет;ВР000001052;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4813;карниз;2000;;;;1.50.141;70;70;;;;;Нет;ВР000005170;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4814;карниз;2000;;;;1.50.142;196;45;;;;;Нет;ВР000001544;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4815;карниз;2000;;;;1.50.143;70;73;;;;;Нет;ВР000005171;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4816;карниз;2000;;;;1.50.144;82;80;;;;;Нет;ВР000005173;;4,00;93,00;;;;;Интерьерный декор;карнизы;
4817;карниз;2000;;;;1.50.145;264;90;;;;;Нет;ВР000001586;;4,50;103,00;;;;;Интерьерный декор;карнизы;
4818;карниз;2000;;;;1.50.146;74;148;;;;;Нет;ВР000005175;;4,00;93,00;;;;;Интерьерный декор;карнизы;
