IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
5313;база;1.23.100;Нет;690,56
5314;база;1.23.200;Нет;988
5315;база;1.23.300;Нет;778
5316;база;1.23.400;Нет;1055,08
5317;база;1.23.500;Нет;757
5318;пьедестал;1.14.001;Нет;2912,52
5319;пьедестал;1.14.002;Нет;3074,76
5320;пьедестал;1.14.003;Нет;3074,76
5321;пьедестал;1.18.001;Нет;1538,16
5322;пьедестал;1.18.002;Нет;1457,04
5323;пьедестал;1.18.003;Нет;1538,16
5324;база;1.54.010;Нет;325
5325;обрамление арок;1.55.003;Нет;131,04
5326;обрамление арок;1.55.004;Нет;136,24
5327;обрамление арок;1.55.001;Нет;372
5328;замковый камень;1.55.005;Нет;135,72
5329;обрамление арок;1.55.002;Нет;372
5330;база;1.54.020;Нет;294,84
5331;боковой элемент;1.54.009;Нет;127
5332;боковой элемент;1.54.019;Нет;129
5333;квадрат;1.54.001;Нет;115
5334;квадрат;1.54.002;Нет;112,84
5335;наличник;1.54.003;Нет;467
5336;наличник;1.54.004;Нет;785
5337;элемент;1.54.008;Нет;131
5338;элемент;1.54.006;Нет;161,2
5339;элемент;1.54.005;Нет;153
5340;элемент;1.54.007;Нет;125
5341;элемент;1.54.012;Нет;321
5342;элемент;1.54.011;Нет;317,72
5343;ствол;1.12.011;Нет;6351
5344;пилястра;1.20.301;Нет;
5345;пилястра;1.20.302;Нет;
5346;пилястра;1.20.303;Нет;
5347;пилястра;1.20.201;Нет;
5348;пилястра;1.20.202;Нет;
5349;пилястра;1.20.101;Нет;
5350;пилястра;1.20.102;Нет;
5351;пилястра;1.20.001;Нет;
5352;пилястра;1.20.002;Нет;
5353;полуколонна;1.10.301;Нет;
5354;полуколонна;1.10.302;Нет;
5355;полуколонна;1.10.303;Нет;
5356;полуколонна;1.10.304;Нет;
5357;полуколонна;1.10.201;Нет;
5358;полуколонна;1.10.202;Нет;
5359;полуколонна;1.10.203;Нет;
5360;полуколонна;1.10.204;Нет;
5361;полуколонна;1.10.205;Нет;
5362;полуколонна;1.10.206;Нет;
5363;полуколонна;1.10.207;Нет;
5364;полуколонна;1.10.208;Нет;
5365;полуколонна;1.10.209;Нет;
5366;полуколонна;1.10.210;Нет;
5367;полуколонна;1.10.211;Нет;
5368;полуколонна;1.10.212;Нет;
5369;полуколонна;1.10.213;Нет;
5370;полуколонна;1.10.214;Нет;
5371;полуколонна;1.10.101;Нет;
5372;полуколонна;1.10.102;Нет;
5373;полуколонна;1.10.103;Нет;
5374;полуколонна;1.10.104;Нет;
5375;полуколонна;1.10.105;Нет;
5376;полуколонна;1.10.106;Нет;
5377;колонна;1.30.301;Нет;
5378;колонна;1.30.302;Нет;
5379;колонна;1.30.303;Нет;
5380;колонна;1.30.304;Нет;
5381;колонна;1.30.201;Нет;
5382;колонна;1.30.202;Нет;
5383;колонна;1.30.204;Нет;
5384;колонна;1.30.205;Нет;
5385;колонна;1.30.206;Нет;
5386;колонна;1.30.207;Нет;
5387;колонна;1.30.208;Нет;
5388;колонна;1.30.209;Нет;
5389;колонна;1.30.210;Нет;
5390;колонна;1.30.211;Нет;
5391;колонна;1.30.212;Нет;
5392;колонна;1.30.213;Нет;
5393;колонна;1.30.214;Нет;
5394;колонна;1.30.101;Нет;
5395;колонна;1.30.102;Нет;
5396;колонна;1.30.104;Нет;
5397;колонна;1.30.105;Нет;
5398;колонна;1.30.106;Нет;
5861;карниз;1.50.205;Нет;436,28
5862;карниз FLEX;1.50.196;Да;820
5863;карниз FLEX;1.50.198;Да;882,96
5864;карниз FLEX;1.50.201;Да;1990
5865;карниз FLEX;1.50.205;Да;870
5866;молдинг;1.51.345;Нет;550,68
5867;молдинг;1.51.357;Нет;331,24
5868;молдинг;1.51.358;Нет;522,6
5869;молдинг;1.51.361;Нет;357,76
5870;молдинг;1.51.381;Нет;849,16
5871;молдинг FLEX;1.51.345;Да;1101
5872;молдинг FLEX;1.51.357;Да;662,48
5873;молдинг FLEX;1.51.358;Да;1045,2
5874;молдинг FLEX;1.51.361;Да;715,52
5875;молдинг FLEX;1.51.381;Да;1698,32
5876;архитрав;1.26.001;Нет;903,24
5877;архитрав;1.26.002;Нет;903,24
5878;архитрав;1.26.003;Нет;925,08
5879;розетка;1.56.036;Нет;1645,28
5880;база;1.13.600;Нет;2955
5881;ниша;1.61.101;Нет;1805,96
5882;ниша;1.61.102;Нет;2770
5883;ниша с полкой;1.61.110;Нет;1671,8
5884;ниша с полкой;1.61.120;Нет;3415,88
5885;сандрик;1.63.001;Нет;933,4
5886;сандрик;1.63.002;Нет;878,28
