IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP165;IP_PROP620;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4919;карниз 1.50.110 гибкий;2000;;;;1.50.110;189;169;;;;;Да;ВР002028327;;Нет;;;4500;4000;
4920;карниз 1.50.111 гибкий;2000;;;;1.50.111;118;112;;;;;Да;ВР002028328;;Нет;;;3500;2500;
4921;карниз 1.50.112 гибкий;2000;;;;1.50.112;39;74;;;;;Да;ВР002028329;;Нет;;;1500;1000;
4922;карниз 1.50.113 гибкий;2000;;;;1.50.113;80;83;;;;;Да;ВР002028330;;Нет;;;4000;3000;
4923;карниз 1.50.123 гибкий;2000;;;;1.50.123;30;30;;;;;Да;ВР002028340;;Нет;;;1000;550;
4924;карниз 1.50.124 гибкий;2000;;;;1.50.124;55;115;;;;;Да;ВР002028341;;Нет;;;1500;1500;
4925;карниз 1.50.125 гибкий;2000;;;;1.50.125;85;90;;;;;Да;ВР002028342;;Нет;;;2500;2000;
4926;карниз 1.50.126 гибкий;2000;;;;1.50.126;90;93;;;;;Да;ВР002028343;;Нет;;;2500;1500;
4927;карниз 1.50.127 гибкий;2000;;;;1.50.127;46;89;;;;;Да;ВР002028344;;Нет;;;2000;1500;
4928;карниз 1.50.128 гибкий;2000;;;;1.50.128;66;144;;;;;Да;ВР002028345;;Нет;;;1500;2000;
4929;карниз 1.50.129 гибкий;2000;;;;1.50.129;74;85;;;;;Да;ВР002028346;;Нет;;;2500;1500;
4930;карниз 1.50.130 гибкий;2000;;;;1.50.130;30;32;;;;;Да;ВР002028347;;Нет;;;1000;550;
4931;карниз 1.50.131 гибкий;2000;;;;1.50.131;136;63;;;;;Да;ВР002028348;;Нет;;;3000;2500;
4932;карниз 1.50.132 гибкий;2000;;;;1.50.132;117;218;;;;;Да;ВР002028349;;Нет;;;2500;3000;
4933;карниз 1.50.133 гибкий;2000;;;;1.50.133;115;120;;;;;Да;ВР002028350;;Нет;;;3500;2500;
4934;карниз 1.50.134 гибкий;2000;;;;1.50.134;193;150;;;;;Да;ВР002028366;;Нет;;;4500;4000;
4935;карниз 1.50.135 гибкий;2000;;;;1.50.135;159;40;;;;;Да;ВР002028367;;Нет;;;3500;3500;
4936;карниз 1.50.136 гибкий;2000;;;;1.50.136;61;165;;;;;Да;ВР002028368;;Нет;;;3500;3000;
4937;карниз 1.50.137 гибкий;2000;;;;1.50.137;185;190;;;;;Да;ВР002028369;;Нет;;;4500;4000;
4938;карниз 1.50.138 гибкий;2000;;;;1.50.138;151;165;;;;;Да;ВР002028370;;Нет;;;4000;3500;
4939;карниз 1.50.139 гибкий;2000;;;;1.50.139;99;100;;;;;Да;ВР002028371;;Нет;;;2500;2000;
4940;карниз 1.50.140 гибкий;2000;;;;1.50.140;56;56;;;;;Да;ВР002028372;;Нет;;;2000;1500;
4941;карниз 1.50.141 гибкий;2000;;;;1.50.141;68;72;;;;;Да;ВР002028373;;Нет;;;2000;1500;
4942;карниз 1.50.142 гибкий;2000;;;;1.50.142;195;45;;;;;Да;ВР002028374;;Нет;;;>5000;;
4943;карниз 1.50.143 гибкий;2000;;;;1.50.143;69;73;;;;;Да;ВР002028375;;Нет;;;>5000;;
4944;карниз 1.50.144 гибкий;2000;;;;1.50.144;82;81;;;;;Да;ВР002028376;;Нет;;;2500;1500;
4945;карниз 1.50.145 гибкий;2000;;;;1.50.145;262;92;;;;;Да;ВР002028377;;Нет;;;>5000;;
4946;карниз 1.50.146 гибкий;2000;;;;1.50.146;76;149;;;;;Да;ВР002028378;;Нет;;;>5000;;
