IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP148
5092;2000;;;;;;28;550
5093;2000;;;;;;20;550
5094;2000;;;;;;21;1000
5095;2000;;;;;;19;1500
5096;2000;;;;;;20;550
5097;2000;;;;;;22;1000
5098;2000;;;;;;19;1500
5099;2000;;;;;;20;1500
5100;2000;;;;;;32;550
5101;2000;;;;;;30;1500
5102;2000;;;;;;20;1500
5103;2000;;;;;;12;550
5104;2000;;;;;;30;550
5105;2000;;;;;;28;550
5107;2000;;;;;;26;1000
5108;2000;;;;;;20;1000
5109;2000;;;;;;15;1500
5110;2000;;;;;;12;1500
5111;2000;;;;;;18;1500
5112;2000;;;;;;29;550
5113;2000;;;;;;35;3500
5114;2000;;;;;;12;550
5115;2000;;;;;;10;550
5116;2000;;;;;;16;1000
5117;2000;;;;;;20;1000
5118;2000;;;;;;12;1500
5119;2000;;;;;;14;1000
5120;2000;;;;;;16;1000
5121;2000;;;;;;12;1500
5122;2000;;;;;;25;1000
5123;2000;;;;;;20;2000
5124;2000;;;;;;12;550
5125;2000;;;;;;27;1500
5126;2000;;;;;;38;2000
5127;2000;;;;;;26;1000
5128;2000;;;;;;;
5129;2000;;;;;;;
5130;2000;;;;;;;
5131;2000;;;;;;;
5132;2000;;;;;;;
5133;2000;;;;;;;
5134;2000;;;;;;;
5135;2000;;;;;;;
5136;2000;;;;;;;
5137;2000;;;;;;;
5138;2000;;;;;;;
5139;2000;;;;;;;
5140;2000;;;;;;;
5141;2000;;;;;;;
5142;2000;;;;;;;
5143;2000;;;;;;;
5144;;285;285;;;;30;
5145;;210;210;;;;16;
5146;;215;215;;;;25;
5147;;213;395;;;;23;
5148;;213;395;;;;23;
5149;;255;255;;;;19;
5150;;272;269;;;;32;
5151;;261;261;;;;18;
5152;;195;195;;;;20;
5153;;195;195;;;;18;
5154;;250;250;;;;30;
5155;;294;294;;;;26;
5156;;300;104;;;;20;
5157;;270;390;;;;18;
5158;;215;215;;;;21;
5159;;215;215;;;;21;
5160;;300;300;;;;20;
5161;;294;295;;;;22;
5162;;160;160;;;;20;
5163;;208;210;;;;18;
5164;;634;634;;;;43;
5165;;270;390;;;;18;
5166;;174;174;;;;32;
5167;;186;315;150;;;;
5168;;73;97;38;;;;
5169;;122;303;75;;;;
5170;;188;489;163;;;;
5171;;120;149;120;;;;
5172;;86;215;73;;;;
5174;;;;;448;;42;
5175;;;;;693;;60;
5176;;;;;520;;37;
5177;;;;;436;;31;
5178;;;;;400;;60;
5179;;;;;258;;32;
