IE_XML_ID;IE_NAME;IP_PROP157;IP_PROP160;IP_PROP253;IP_PROP257;IP_PROP258;CV_PRICE_1
6199;замковый камень 4.85.005;Нет;ВР002027804;7093;26,89;26,89;1516.00
6200;карниз 4.91.002;Нет;ВР002027811;62199;223,49;223,49;12630.00
6201;наличник 4.84.005;Нет;ВР002027802;8669;32,75;32,75;1853.00
6202;кронштейн-пьедестал 4.83.003;Нет;ВР001022064;2501;9,41;9,41;532.00
6206;молдинг 1.51.359;Нет;ВР002025485;4821;15,2;15,2;1075.00
6207;карниз 1.50.161 гибкий;Да;ВР002028662;12496;40,94;40,94;2781.00
6208;молдинг 1.51.359 гибкий;Да;ВР002028614;9642;30,39;30,39;2149.00
6211;наличник 4.84.004;Нет;ВР002027806;11272;42,57;42,57;2410.00
6212;наличник 4.84.006;Нет;ВР002027805;17339;65,52;65,52;3705.00
6213;карниз 4.91.003;Нет;ВР002027809;38321;137,7;137,7;7780.00
6214;карниз 4.91.005;Нет;ВР002027808;41045;147,5;147,5;8336.00
6215;фриз 4.33.302;Нет;ВР001005116;13076;47,07;47,07;2655.00
6216;кронштейн-пьедестал 4.83.002;Нет;ВР001022063;2998;11,46;11,46;639.00
6217;фрагмент ствола 4.16.002;Нет;ВР002025404;18622;70,4;70,4;3981.00
6218;фрагмент ствола 4.16.002;Нет;ВР002025404;18622;70,4;70,4;3981.00
6313;молдинг 1.51.346 гибкий;Да;ВР002028722;8236;26,49;26,49;1838.00
6355;угловой элемент 1.52.322;Нет;ВР002028171;3467;10,9;10,9;772.00
6356;угловой элемент 1.52.348;Нет;ВР002027948;3666;11,68;11,68;817.00
6357;угловой элемент 1.52.286;Нет;ВР002028179;3629;11,68;11,68;807.00
6358;угловой элемент 1.52.287;Нет;ВР002028178;3847;12,07;12,07;857.00
6359;карниз 1.50.108 гибкий;Да;ВР002028325;22828;70,38;70,38;5092.00
6362;карниз 1.50.279;Нет;ВР002028174;12101;38,57;38,57;2700.00
6363;карниз 1.50.276;Нет;ВР002027955;6213;20,07;20,07;1385.00
6364;карниз 1.50.276 гибкий;Да;ЧХ002026920;12427;40,15;40,15;2769.00
6365;карниз 1.50.278;Нет;ВР002028172;6539;20,85;20,85;1459.00
6366;карниз 1.50.278 гибкий;Да;ЧХ002026921;13078;41,7;41,7;2916.00
6367;розетка 1.56.044;Нет;ВР002027947;13165;41,7;41,7;2934.00
6368;молдинг 1.51.360;Нет;ВР002025523;4714;14,81;14,81;1050.00
6369;молдинг 1.51.360 гибкий;Да;ВР002028723;9428;29,61;29,61;2100.00
6370;молдинг 1.51.363;Нет;ВР002027951;5092;22,99;22,99;1137.00
6371;молдинг 1.51.363 гибкий;Да;ВР002028725;10184;45,98;45,98;2273.00
6372;молдинг 1.51.362;Нет;ВР002027945;4804;15,2;15,2;1072.00
6373;молдинг 1.51.362 гибкий;Да;ВР002028724;9607;30,39;30,39;2144.00
6374;молдинг 1.51.370;Нет;ВР002028363;5291;16,76;16,76;1179.00
6375;молдинг 1.51.370 гибкий;Да;ВР002028731;10582;33,52;33,52;2357.00
6376;плинтус 1.53.110;Нет;ВР002027959;8741;28,06;28,06;1947.00
6377;плинтус 1.53.110 гибкий;Да;ВР002028736;17482;56,13;56,13;3894.00
6380;карниз 1.50.179 гибкий;Да;ВР002028408;12029;38,57;38,57;2678.00
6381;карниз 1.50.207 гибкий;Да;ВР002028595;12427;40,15;40,15;2769.00
6382;карниз 1.50.275 гибкий;Да;ВР002028577;23154;73,99;73,99;5165.00
6385;ствол 4.16.003;Нет;ВР002025490;13004;49,12;49,12;2780.00
6386;ствол 4.16.004;Нет;ВР002025491;18125;68,77;68,77;3874.00
6387;ствол 4.16.005;Нет;ВР002025492;13004;49,12;49,12;2780.00
6388;капитель 4.15.202;Нет;ВР002025161;26006;98,24;98,24;5557.00
6389;капитель 4.15.302;Нет;ВР002025162;38993;147,36;147,36;8336.00
6390;капитель 4.11.102;Нет;ВР002028127;40946;154,79;154,79;8753.00
6391;капитель 4.11.202;Нет;ВР002028130;57204;216,56;216,56;12226.00
6392;капитель 4.11.302;Нет;ВР002028128;85781;319,93;319,93;18337.00
6393;база 4.13.001;Нет;ВР002028136;30942;117,3;117,3;6613.00
