IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4839;карниз;2000;1.50.168;119;120;;;;;;;;;;;;ВР000004036;;4;72,5;;Интерьерный декор;карнизы;;1287.00
4840;карниз;2000;1.50.169;95;102;;;;;;;;;;;;ВР000005325;;4;72,5;;Интерьерный декор;карнизы;;1213.00
4841;карниз;2000;1.50.170;114;79;;;;;;;;;;;;ВР000001057;;4;72,5;;Интерьерный декор;карнизы;;689.00
4842;карниз;2000;1.50.171;30;45;;;;;;;;;;;;ВР001022855;;4;72,5;;Интерьерный декор;карнизы;;450.00
4843;карниз;2000;1.50.172;47;44;;;;;;;;;;;;ВР001022856;;4;72,5;;Интерьерный декор;карнизы;;466.00
4844;карниз;2000;1.50.173;40;55;;;;;;;;;;;;ВР001022857;;4;72,5;;Интерьерный декор;карнизы;;469.00
4845;карниз;2000;1.50.174;37;62;;;;;;;;;;;;ВР001022858;;4;72,5;;Интерьерный декор;карнизы;;479.00
4846;карниз;2000;1.50.175;119;134;;;;;;;;;;;;ВР000001355;;4;72,5;;Интерьерный декор;карнизы;;1280.00
4847;карниз;2000;1.50.176;67;131;;;;;;;;;;;;ВР000005000;;4;72,5;;Интерьерный декор;карнизы;;1171.00
4848;карниз;2000;1.50.177;55;120;;;;;;;;;;;;ВР000006024;;4;72,5;;Интерьерный декор;карнизы;;697.00
4849;карниз;2000;1.50.180;93;121;;;;;;;;;;;;ВР000001451;;4;72,5;;Интерьерный декор;карнизы;;1188.00
4850;карниз;2000;1.50.181;39;75;;;;;;;;;;;;ВР001023412;;4;72,5;;Интерьерный декор;карнизы;;669.00
4851;карниз;2000;1.50.182;41;68;;;;;;;;;;;;ВР001023413;;4;72,5;;Интерьерный декор;карнизы;;657.00
4852;карниз;2000;1.50.183;84;97;;;;;;;;;;;;ВР001023414;;4;72,5;;Интерьерный декор;карнизы;;714.00
4853;карниз;2000;1.50.184;72;74;;;;;;;;;;;;ВР001023415;;4;72,5;;Интерьерный декор;карнизы;;714.00
4854;карниз;2000;1.50.185;98;115;;;;;;;;;;;;ВР001023416;;;;;Интерьерный декор;карнизы;;1251.00
4855;карниз;2000;1.50.186;56;83;;;;;;;;;;;;ВР001023417;;4;72,5;;Интерьерный декор;карнизы;;714.00
