IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP158;IP_PROP159;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP166;IP_PROP167;IP_PROP409;IP_PROP410;IP_PROP411;IP_PROP412;IP_PROP413;IP_PROP414;IP_PROP446;IP_PROP544;IP_PROP545;IP_PROP546;IP_PROP547;IP_PROP580;IP_PROP596;IP_PROP612;IP_PROP616;IP_PROP617;IP_PROP619;IP_PROP620;IP_PROP659;IP_PROP660;IP_PROP661;IP_PROP662;IP_PROP670;IP_PROP705;IP_PROP732;IP_PROP733;IP_PROP746;IP_PROP747;IP_PROP748;IP_PROP749;IP_PROP408;IP_PROP618;IP_PROP149;IP_PROP180;IP_PROP183;IP_PROP181;IP_PROP182;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP256;IP_PROP257;IP_PROP258;IP_PROP565;IP_PROP600;IP_PROP706;IP_PROP707
4798;карниз;;;;2000;;;;1.50.126;90;93;;;;;N;N;;ВР001003726;КАРНИЗ 1.50.126;;3,19;69,75;N;N;;N;Y;N;N;N;N;;Y;Y;N;Y;;;;;;;;500;Y;;ВР099022324;1467;;;;;;;;N;Y;;;;;;;;;64,12;8117;564;408;9600;21,34;21,34;69,3;255517;500;14,2
4799;карниз;;;;2000;;;;1.50.127;46;89;;;;;N;N;;ВР000002929;КАРНИЗ 1.50.127;;2,32;69,75;N;N;;Y;N;N;N;Y;N;N;Y;N;N;N;N;N;N;;;;;500;Y;;ВР099022364;1426;;;;;;;;N;Y;;;N;N;N;;;;62,19;7867;548;395;9300;20,78;20,78;67,2;248161;500;10,3
4800;карниз;;;;2000;;;;1.50.128;66;144;;;;;N;N;;ВР000002329;КАРНИЗ 1.50.128;;5,41;69,75;N;;;Y;N;N;Y;N;N;;N;N;N;N;;;;;;;;900;Y;;ВР099022365;2492;;;;;;;;N;Y;;;;;;;;;108,8;13432;957;692;16300;36,36;36,36;117,5;422757;500;24
4801;карниз;;;;2000;;;;1.50.129;74;85;;;;;N;N;;ВР000005168;КАРНИЗ 1.50.129;;3,6;69,75;N;;;N;Y;N;N;Y;Y;;N;N;N;N;;;;;;;;500;Y;;ВР099022366;1436;;;;;;;;N;Y;;;;;;;;;62,75;7944;553;400;9300;21,21;21,21;67,9;250123;500;16
4802;карниз;;;;2000;;;;1.50.130;30;32;;;;;N;N;;ВР000001049;КАРНИЗ 1.50.130;;0,94;60;N;;;N;Y;N;N;N;Y;;Y;N;N;N;;;;;;;;350;Y;;ВР099022367;1008;;;;;;;;N;N;;;;;;;;;43,98;5584;386;280;6500;14,71;14,71;47,5;175576;429;4,2
4803;карниз;;;;2000;;;;1.50.131;136;63;;;;;N;N;;ВР000001081;КАРНИЗ 1.50.131;;6,83;69,75;N;N;;N;Y;N;N;N;N;N;Y;Y;N;Y;N;N;N;;;;;800;Y;;ВР099022368;2452;;;;;;;;N;Y;;;N;N;N;;;;107,11;12491;943;681;16000;35,92;35,92;115,8;392839;500;30,4
4804;карниз;;;;2000;;;;1.50.132;117;218;;;;;N;N;;ВР000001050;КАРНИЗ 1.50.132;;12,58;77,25;N;N;;N;Y;N;N;Y;Y;N;N;N;N;N;N;N;N;;;;;1200;Y;;ВР099022325;3072;;;;;;;;N;Y;;;N;N;N;;;;159,7;15005;1405;1015;23700;53,25;53,25;172,6;472290;550;55,9
4805;карниз;;;;2000;;;;1.50.133;115;120;;;;;N;N;;ВР000001076;КАРНИЗ 1.50.133;;6,7;77,25;N;N;;N;Y;N;N;N;Y;N;Y;N;N;N;N;N;N;;;;;800;Y;;ВР099022326;2267;;;;;;;;N;Y;;;N;N;N;;;;98,93;10918;911;629;16300;34,96;34,96;106,9;343305;550;29,8
4806;карниз;;;;2000;;;;1.50.134;193;150;;;;;N;N;;ВР000001051;КАРНИЗ 1.50.134;;15,37;77,25;N;N;;N;Y;N;N;Y;Y;N;N;Y;N;N;N;N;N;;;;;1200;Y;;ВР099022369;3532;;;;;;;;N;N;;;N;N;N;;;;154,29;19533;1358;981;23100;51,52;51,52;166,8;614516;550;68,3
4807;карниз;;;;2000;;;;1.50.135;159;40;;;;;N;N;;ВР000001303;КАРНИЗ 1.50.135;;3,97;60;N;N;;N;Y;N;N;N;N;N;N;Y;N;Y;N;N;N;;;;;800;Y;;ВР099022411;2547;;;;;Y;;143;N;Y;;;N;N;N;;;;111,25;14084;989;707;16900;37,66;37,66;120,3;443355;429;17,6
