IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;CV_PRICE_1
5088;молдинг FLEX;1.51.325;Да;2017.00
5089;молдинг FLEX;1.51.312;Да;1114.00
5090;молдинг FLEX;1.51.332;Да;1495.00
5091;молдинг FLEX;1.51.350;Да;2031.00
5092;молдинг FLEX;1.51.326;Да;1164.00
5093;молдинг FLEX;1.51.308;Да;1114.00
5094;молдинг FLEX;1.51.309;Да;1592.00
5095;молдинг FLEX;1.51.310;Да;1890.00
5096;молдинг FLEX;1.51.313;Да;1182.00
5097;молдинг FLEX;1.51.315;Да;1221.00
5098;молдинг FLEX;1.51.316;Да;1129.00
5099;молдинг FLEX;1.51.317;Да;1790.00
5100;молдинг FLEX;1.51.318;Да;1265.00
5101;молдинг FLEX;1.51.319;Да;2049.00
5102;молдинг FLEX;1.51.320;Да;1952.00
5103;молдинг FLEX;1.51.322;Да;932.00
5104;молдинг FLEX;1.51.328;Да;1164.00
5105;молдинг FLEX;1.51.330;Да;1229.00
5106;молдинг FLEX;1.51.333;Да;1205.00
5107;молдинг FLEX;1.51.340;Да;1153.00
5108;молдинг FLEX;1.51.341;Да;1615.00
5109;молдинг FLEX;1.51.342;Да;1615.00
5110;молдинг FLEX;1.51.343;Да;1495.00
5111;молдинг FLEX;1.51.344;Да;1615.00
5112;молдинг FLEX;1.51.351;Да;1198.00
5113;молдинг FLEX;1.51.380;Да;2690.00
5114;молдинг FLEX;1.51.401;Да;922.00
5115;молдинг FLEX;1.51.323;Да;946.00
5116;молдинг FLEX;1.51.339;Да;1527.00
5117;молдинг FLEX;1.51.331;Да;1443.00
5118;молдинг FLEX;1.51.336;Да;1495.00
5119;молдинг FLEX;1.51.334;Да;1132.00
5120;молдинг FLEX;1.51.335;Да;1250.00
5121;молдинг FLEX;1.51.337;Да;1762.00
5122;молдинг FLEX;1.51.348;Да;1181.00
5123;молдинг FLEX;1.51.349;Да;1984.00
5124;молдинг FLEX;1.51.329;Да;967.00
5125;молдинг FLEX;1.51.347;Да;1859.00
5126;молдинг FLEX;1.51.355;Да;1921.00
5127;молдинг FLEX;1.51.354;Да;1226.00
5128;плинтус;1.53.102;Нет;1073.00
5129;плинтус;1.53.103;Нет;985.00
5130;плинтус;1.53.104;Нет;1001.00
5131;плинтус;1.53.105;Нет;1104.00
5132;плинтус;1.53.106;Нет;898.00
5133;плинтус;1.53.107;Нет;863.00
5134;плинтус;1.53.109;Нет;966.00
5135;плинтус;1.53.101;Нет;1038.00
5136;плинтус FLEX;1.53.102;Да;2144.00
5137;плинтус FLEX;1.53.103;Да;1968.00
5138;плинтус FLEX;1.53.104;Да;2002.00
5139;плинтус FLEX;1.53.105;Да;2207.00
5140;плинтус FLEX;1.53.106;Да;1793.00
5141;плинтус FLEX;1.53.107;Да;1724.00
5142;плинтус FLEX;1.53.109;Да;1931.00
5143;плинтус FLEX;1.53.101;Да;2075.00
5144;угловой элемент;1.52.326;Нет;511.00
5145;угловой элемент;1.52.301;Нет;438.00
5146;угловой элемент;1.52.302;Нет;450.00
5147;угловой элемент;1.52.290;Нет;475.00
5148;угловой элемент;1.52.293;Нет;475.00
5149;угловой элемент;1.52.292;Нет;487.00
5150;угловой элемент;1.52.288;Нет;497.00
5151;угловой элемент;1.52.294;Нет;497.00
5152;угловой элемент;1.52.291;Нет;453.00
5153;угловой элемент;1.52.295;Нет;453.00
5154;угловой элемент;1.52.328;Нет;453.00
5155;угловой элемент;1.52.400;Нет;478.00
5156;угловой элемент;1.52.289;Нет;440.00
5157;угловой элемент;1.52.296;Нет;545.00
5158;угловой элемент;1.52.297;Нет;443.00
5159;угловой элемент;1.52.298;Нет;443.00
5160;угловой элемент;1.52.300;Нет;453.00
5161;угловой элемент;1.52.303;Нет;453.00
5162;угловой элемент;1.52.308;Нет;434.00
5163;угловой элемент;1.52.312;Нет;438.00
5164;угловой элемент;1.52.313;Нет;939.00
5165;угловой элемент;1.52.314;Нет;545.00
5166;угловой элемент;1.52.318;Нет;464.00
5167;кронштейн;1.19.001;Нет;1269.00
5168;кронштейн;1.19.137;Нет;186.00
5169;кронштейн;1.19.002;Нет;949.00
5170;кронштейн;1.19.005;Нет;1049.00
5171;кронштейн;1.19.003;Нет;952.00
5172;кронштейн;1.19.004;Нет;953.00
5173;кронштейн;1.19.006;Нет;2789.00
5174;розетка;1.56.017;Нет;1338.00
5175;розетка;1.56.001;Нет;1822.00
5176;розетка;1.56.002;Нет;1295.00
5177;розетка;1.56.004;Нет;1056.00
5178;розетка;1.56.007;Нет;1095.00
5179;розетка;1.56.013;Нет;722.00
5180;розетка;1.56.014;Нет;753.00
5181;розетка;1.56.015;Нет;1424.00
5182;розетка;1.56.016;Нет;1295.00
5183;розетка;1.56.018;Нет;2533.00
5184;розетка;1.56.019;Нет;1382.00
5185;розетка;1.56.020;Нет;1382.00
5186;розетка;1.56.022;Нет;1295.00
5187;розетка;1.56.023;Нет;1775.00
5188;розетка;1.56.024;Нет;1338.00
5189;розетка;1.56.025;Нет;3337.00
5190;розетка;1.56.005;Нет;2302.00
5191;розетка;1.56.010;Нет;440.00
5192;розетка;1.56.028;Нет;2474.00
5193;розетка;1.56.029;Нет;1822.00
5194;розетка;1.56.030;Нет;775.00
5195;розетка;1.56.003;Нет;1382.00
5196;розетка;1.56.031;Нет;1775.00
5197;розетка;1.56.021;Нет;1424.00
5198;розетка;1.56.026;Нет;2416.00
5199;розетка;1.56.006;Нет;737.00
5200;розетка;1.56.009;Нет;753.00
5201;розетка;1.56.032;Нет;768.00
5202;розетка;1.56.011;Нет;434.00
5203;розетка;1.56.037;Нет;754.00
5204;розетка;1.56.034;Нет;1339.00
5205;розетка;1.56.033;Нет;1295.00
5206;розетка;1.56.038;Нет;998.00
5207;розетка;1.56.012;Нет;1382.00
5208;розетка;1.56.027;Нет;1037.00
5209;розетка;1.56.039;Нет;1846.00
5210;розетка;1.56.035;Нет;1338.00
5211;розетка;1.56.042;Нет;440.00
5212;орнамент;1.60.114;Нет;547.00
5213;орнамент;1.60.014;Нет;547.00
5214;орнамент;1.60.011;Нет;237.00
5215;орнамент;1.60.111;Нет;237.00
5216;орнамент;1.60.007;Нет;220.00
5217;орнамент;1.60.005;Нет;220.00
5218;орнамент;1.60.012;Нет;592.00
5219;орнамент;1.60.008;Нет;208.00
5220;орнамент;1.60.010;Нет;212.00
5221;орнамент;1.60.002;Нет;238.00
5222;орнамент;1.60.003;Нет;208.00
5223;орнамент;1.60.004;Нет;212.00
5224;орнамент;1.60.006;Нет;216.00
5225;орнамент;1.60.009;Нет;212.00
5226;орнамент;1.60.015;Нет;222.00
5227;орнамент;1.60.017;Нет;239.00
5228;орнамент;1.60.018;Нет;246.00
5229;орнамент;1.60.019;Нет;592.00
5230;орнамент;1.60.108;Нет;208.00
5231;орнамент;1.60.109;Нет;212.00
5232;орнамент;1.60.110;Нет;212.00
5233;орнамент;1.60.001;Нет;217.00
5234;кессон;1.57.002;Нет;1665.00
5235;кессон;1.57.003;Нет;1753.00
5236;кессон;1.57.001;Нет;1534.00
5237;кессон;1.57.004;Нет;2275.00
5238;купол;1.58.001;Нет;8391.00
5239;капитель;1.11.001;Нет;7318.00
5240;капитель;1.11.010;Нет;3975.00
5241;капитель;1.11.003;Нет;5684.00
5242;капитель;1.11.002;Нет;4222.00
5243;капитель;1.11.004;Нет;5684.00
5244;капитель;1.11.005;Нет;2929.00
5245;капитель;1.11.006;Нет;5455.00
5246;капитель;1.11.008;Нет;3306.00
5247;капитель;1.11.009;Нет;3291.00
5248;капитель;1.15.002;Нет;1802.00
5249;капитель;1.15.003;Нет;2534.00
5250;капитель;1.15.004;Нет;2534.00
5251;капитель;1.15.005;Нет;1314.00
5252;капитель;1.15.006;Нет;2436.00
5253;капитель;1.15.008;Нет;1654.00
5254;капитель;1.15.001;Нет;3096.00
5255;капитель;1.15.009;Нет;1645.00
5256;капитель;1.15.010;Нет;1989.00
5257;капитель;1.21.003;Нет;1130.00
5258;капитель;1.21.001;Нет;1015.00
5259;капитель;1.21.002;Нет;1291.00
5260;капитель;1.21.004;Нет;1181.00
5261;капитель;1.21.005;Нет;1273.00
5262;капитель;1.21.006;Нет;1207.00
5263;капитель;1.21.007;Нет;1143.00
5264;ствол;1.12.020;Нет;10695.00
5265;ствол;1.12.010;Нет;10695.00
5266;ствол;1.12.030;Нет;13621.00
5267;ствол;1.12.050;Нет;6297.00
5268;ствол;1.12.060;Нет;5750.00
5269;ствол;1.12.061;Нет;7766.00
5270;ствол;1.12.080;Нет;5750.00
5271;ствол;1.12.081;Нет;7766.00
5272;ствол;1.12.070;Нет;5750.00
5273;ствол;1.12.071;Нет;7766.00
5274;ствол;1.16.080;Нет;2875.00
5275;ствол;1.16.081;Нет;3883.00
5276;ствол;1.16.030;Нет;6248.00
5277;ствол;1.16.070;Нет;2875.00
5278;ствол;1.16.050;Нет;2815.00
5279;ствол;1.16.060;Нет;2875.00
5280;ствол;1.16.071;Нет;3883.00
5281;ствол;1.16.010;Нет;4787.00
5282;ствол;1.16.011;Нет;4919.00
5283;ствол;1.16.020;Нет;4787.00
5284;ствол;1.16.061;Нет;3883.00
5285;ствол;1.22.010;Нет;1474.00
5286;ствол;1.22.020;Нет;2328.00
5287;ствол;1.22.030;Нет;1775.00
5288;ствол;1.22.200;Нет;2671.00
5289;ствол;1.22.040;Нет;1888.00
5290;кольцо;1.11.100;Нет;178.00
5291;кольцо;1.11.200;Нет;178.00
5292;кольцо;1.11.300;Нет;259.00
5293;кольцо;1.15.100;Нет;90.00
5294;кольцо;1.15.200;Нет;90.00
5295;кольцо;1.15.300;Нет;132.00
5296;база;1.13.900;Нет;2613.00
5297;база;1.13.300;Нет;9849.00
5298;база;1.13.400;Нет;4363.00
5299;база;1.13.800;Нет;2613.00
5300;база;1.13.500;Нет;2929.00
5301;база;1.13.100;Нет;7598.00
5302;база;1.13.200;Нет;3773.00
5303;база;1.13.700;Нет;2561.00
5304;база;1.17.900;Нет;1307.00
5305;база;1.17.300;Нет;4505.00
5306;база;1.17.400;Нет;1971.00
5307;база;1.17.100;Нет;3379.00
5308;база;1.17.800;Нет;1307.00
5309;база;1.17.500;Нет;1314.00
5310;база;1.17.600;Нет;2463.00
5311;база;1.17.700;Нет;1281.00
5312;база;1.17.200;Нет;1465.00
5313;база;1.23.100;Нет;1207.00
5314;база;1.23.200;Нет;1727.00
5315;база;1.23.300;Нет;1361.00
5316;база;1.23.400;Нет;1844.00
5317;база;1.23.500;Нет;1324.00
5318;пьедестал;1.14.001;Нет;5091.00
5319;пьедестал;1.14.002;Нет;5375.00
5320;пьедестал;1.14.003;Нет;5375.00
5321;пьедестал;1.18.001;Нет;2689.00
5322;пьедестал;1.18.002;Нет;2547.00
5323;пьедестал;1.18.003;Нет;2689.00
5324;база;1.54.010;Нет;568.00
5325;обрамление арок;1.55.003;Нет;229.00
5326;обрамление арок;1.55.004;Нет;238.00
5327;обрамление арок;1.55.001;Нет;651.00
5328;замковый камень;1.55.005;Нет;237.00
5329;обрамление арок;1.55.002;Нет;651.00
5330;база;1.54.020;Нет;515.00
5331;боковой элемент;1.54.009;Нет;224.00
5332;боковой элемент;1.54.019;Нет;224.00
5333;квадрат;1.54.001;Нет;203.00
5334;квадрат;1.54.002;Нет;197.00
5335;наличник;1.54.003;Нет;819.00
5336;наличник;1.54.004;Нет;1374.00
5337;элемент;1.54.008;Нет;230.00
5338;элемент;1.54.006;Нет;281.00
5339;элемент;1.54.005;Нет;271.00
5340;элемент;1.54.007;Нет;222.00
5341;элемент;1.54.012;Нет;563.00
5342;элемент;1.54.011;Нет;555.00
5343;ствол;1.12.011;Нет;11016.00
5344;пилястра;1.20.301;Нет;3053.00
5345;пилястра;1.20.302;Нет;4416.00
5346;пилястра;1.20.303;Нет;4700.00
5347;пилястра;1.20.201;Нет;4347.00
5348;пилястра;1.20.202;Нет;4631.00
5349;пилястра;1.20.101;Нет;4058.00
5350;пилястра;1.20.102;Нет;2925.00
5351;пилястра;1.20.001;Нет;3534.00
