IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP159;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4827;карниз;2000;;;;1.50.155;17;26;;;;;;;;Нет;;ВР001022850;;4;72,5;;;Интерьерный декор;карнизы;;465.00
4828;карниз;2000;;;;1.50.156;31;31;;;;;;;;Нет;;ВР001022851;;4;72,5;;;Интерьерный декор;карнизы;;516.00
4829;карниз;2000;;;;1.50.157;31;33;;;;;;;;Нет;;ВР001022852;;4;72,5;;;Интерьерный декор;карнизы;;480.00
4830;карниз;2000;;;;1.50.158;33;33;;;;;;;;Нет;;ВР001022853;;4;72,5;;;Интерьерный декор;карнизы;;484.00
4831;карниз;2000;;;;1.50.159;22;45;;;;;;;;Нет;;ВР001022854;;4;72,5;;;Интерьерный декор;карнизы;;499.00
4832;карниз;2000;;;;1.50.160;70;51;;;;;;;;Нет;;ВР000001055;;4;72,5;;;Интерьерный декор;карнизы;;660.00
4833;карниз;2000;;;;1.50.162;61;84;;;;;;;;Нет;;ВР000002855;;4;72,5;;;Интерьерный декор;карнизы;;687.00
4834;карниз;2000;;;;1.50.163;68;149;;;;;;;;Нет;;ВР000002934;;4;72,5;;;Интерьерный декор;карнизы;;1317.00
4835;карниз;2000;;;;1.50.164;123;130;;;;;;;;Нет;;ВР000002936;;4;93;;;Интерьерный декор;карнизы;;1448.00
4836;карниз;2000;;;;1.50.165;81;82;;;;;;;;Нет;;ВР000001056;;4;72,5;;;Интерьерный декор;карнизы;;689.00
4837;карниз;2000;;;;1.50.166;87;142;;;;;;;;Нет;;ВР000004078;;4;72,5;;;Интерьерный декор;карнизы;;1396.00
4838;карниз;2000;;;;1.50.167;120;119;;;;;;;;Нет;;ВР000004319;;4;72,5;;;Интерьерный декор;карнизы;;1416.00
4839;карниз;2000;;;;1.50.168;119;120;;;;;;;;Нет;;ВР000004036;;4;72,5;;;Интерьерный декор;карнизы;;1416.00
4840;карниз;2000;;;;1.50.169;95;102;;;;;;;;Нет;;ВР000005325;;4;72,5;;;Интерьерный декор;карнизы;;1335.00
4841;карниз;2000;;;;1.50.170;114;79;;;;;;;;Нет;;ВР000001057;;4;72,5;;;Интерьерный декор;карнизы;;758.00
4842;карниз;2000;;;;1.50.171;30;45;;;;;;;;Нет;;ВР001022855;;4;72,5;;;Интерьерный декор;карнизы;;495.00
4843;карниз;2000;;;;1.50.172;47;44;;;;;;;;Нет;;ВР001022856;;4;72,5;;;Интерьерный декор;карнизы;;513.00
4844;карниз;2000;;;;1.50.173;40;55;;;;;;;;Нет;;ВР001022857;;4;72,5;;;Интерьерный декор;карнизы;;516.00
4845;карниз;2000;;;;1.50.174;37;62;;;;;;;;Нет;;ВР001022858;;4;72,5;;;Интерьерный декор;карнизы;;527.00
