IE_XML_ID;IP_PROP726;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154
4988;;2000;;;;1.50.193;57;90;;
4989;;2000;;;;1.50.194;50;50;;
4990;;2000;;;;1.50.195;53;53;;
4991;;2000;;;;1.50.197;73;77;;
4992;;2000;;;;1.50.200;55;55;;
4993;;2000;;;;1.50.202;103;97;;
4994;;2000;;;;1.50.203;128;116;;
4995;;2000;;;;1.50.209;117;152;;
4996;;2000;;;;1.50.210;121;155;;
4997;;2000;;;;1.50.220;122;127;;
4998;;2000;;;;1.50.221;143;150;;
4999;;2000;;;;1.50.222;164;166;;
5000;;2000;;;;1.50.250;72;164;;
5001;;2000;;;;1.50.251;55;70;;
5002;;2000;;;;1.50.252;120;119;;
5003;;2000;;;;1.50.253;64;109;;
5004;;2000;;;;1.50.254;93;130;;
5005;;2000;;;;1.50.255;81;127;;
5006;;2000;;;;1.50.256;133;173;;
5007;;2000;;;;1.50.257;39;39;;
5008;;2000;;;;1.50.258;25;27;;
5009;;2000;;;;1.50.259;37;81;;
5010;;2000;;;;1.50.260;133;166;;
5011;;2000;;;;1.50.261;103;100;;
5012;;2000;;;;1.50.262;50;120;;
5013;;2000;;;;1.50.264;170;170;;
5014;;2000;;;;1.50.265;114;21;;
5015;;2000;;;;1.50.266;75;21;;
5016;;2000;;;;1.50.267;171;32;;
5017;;2000;;;;1.50.268;170;32;;
5018;;2000;;;;1.50.269;220;47;;
5019;;2000;;;;1.50.270;220;46;;
5020;;2000;;;;1.51.311;;85;;
5021;;2000;;;;1.51.314;;66;;
5022;;2000;;;;1.51.327;;80;;
5023;;2000;;;;1.51.301;;42;;
5024;;2000;;;;1.51.305;;28;;
5025;;2000;;;;1.51.321;;19;;
5026;;2000;;;;1.51.400;;45;;
5027;;2000;;;;1.51.302;;60;;
5028;;2000;;;;1.51.303;;82;;
5029;;2000;;;;1.51.304;;51;;
5030;;2000;;;;1.51.306;;31;;
5031;;2000;;;;1.51.307;;95;;
5032;;2000;;;;1.51.324;;54;;
5033;;2000;;;;1.51.352;;36;;
5034;;2000;;;;1.51.325;;125;;
5035;;2000;;;;1.51.312;;40;;
5036;;2000;;;;1.51.332;;50;;
5037;;2000;;;;1.51.350;;139;;
5038;;2000;;;;1.51.326;;50;;
5039;;2000;;;;1.51.308;;41;;
5040;;2000;;;;1.51.309;;74;;
5041;;2000;;;;1.51.310;;96;;
5042;;2000;;;;1.51.313;;53;;
5043;;2000;;;;1.51.315;;75;;
5044;;2000;;;;1.51.316;;90;;
5045;;2000;;;;1.51.317;;101;;
5046;;2000;;;;1.51.318;;65;;
5047;;2000;;;;1.51.319;;123;;
5048;;2000;;;;1.51.320;;112;;
5049;;2000;;;;1.51.322;;25;;
5050;;2000;;;;1.51.328;;47;;
5051;;2000;;;;1.51.330;;60;;
5052;;2000;;;;1.51.333;;57;;
5053;;2000;;;;1.51.340;;78;;
5054;;2000;;;;1.51.341;;75;;
5055;;2000;;;;1.51.342;;75;;
5056;;2000;;;;1.51.343;;75;;
5057;;2000;;;;1.51.344;;91;;
5058;;2000;;;;1.51.351;;58;;
5059;;2000;;;;1.51.380;;220;;
5060;;2000;;;;1.51.401;;23;;
5061;;2000;;;;1.51.323;;32;;
5062;;2000;;;;1.51.339;;56;;
5063;;2000;;;;1.51.331;;68;;
5064;;2000;;;;1.51.336;;66;;
5065;;2000;;;;1.51.334;;33;;
5066;;2000;;;;1.51.335;;75;;
5067;;2000;;;;1.51.337;;78;;
5068;;2000;;;;1.51.348;;49;;
5069;;2000;;;;1.51.349;;105;;
5070;;2000;;;;1.51.329;;23;;
5071;;2000;;;;1.51.347;;91;;
5072;;2000;;;;1.51.355;;102;;
5073;;2000;;;;1.51.354;;68;;
5074;;2000;;;;1.51.311;;85;;
5075;;2000;;;;1.51.314;;66;;
5076;;2000;;;;1.51.327;;80;;
5077;;2000;;;;1.51.301;;42;;
5078;;2000;;;;1.51.305;;28;;
5079;;2000;;;;1.51.321;;19;;
5080;;2000;;;;1.51.400;;45;;
5081;;2000;;;;1.51.302;;60;;
5082;;2000;;;;1.51.303;;82;;
5083;;2000;;;;1.51.304;;51;;
5084;;2000;;;;1.51.306;;31;;
5085;;2000;;;;1.51.307;;95;;
5086;;2000;;;;1.51.324;;54;;
5087;;2000;;;;1.51.352;;36;;
5088;;2000;;;;1.51.325;;125;;
5089;;2000;;;;1.51.312;;40;;
5090;;2000;;;;1.51.332;;50;;
5091;;2000;;;;1.51.350;;139;;
5092;;2000;;;;1.51.326;;50;;
5093;;2000;;;;1.51.308;;41;;
5094;;2000;;;;1.51.309;;74;;
5095;;2000;;;;1.51.310;;96;;
5096;;2000;;;;1.51.313;;53;;
5097;;2000;;;;1.51.315;;75;;
5098;;2000;;;;1.51.316;;90;;
5099;;2000;;;;1.51.317;;101;;
5100;;2000;;;;1.51.318;;65;;
5101;;2000;;;;1.51.319;;123;;
5102;;2000;;;;1.51.320;;112;;
5103;;2000;;;;1.51.322;;25;;
5104;;2000;;;;1.51.328;;47;;
5105;;2000;;;;1.51.330;;60;;
5106;;2000;;;;1.51.333;;57;;
5107;;2000;;;;1.51.340;;78;;
5108;;2000;;;;1.51.341;;75;;
5109;;2000;;;;1.51.342;;75;;
5110;;2000;;;;1.51.343;;75;;
5111;;2000;;;;1.51.344;;91;;
5112;;2000;;;;1.51.351;;58;;
5113;;2000;;;;1.51.380;;220;;
5114;;2000;;;;1.51.401;;23;;
5115;;2000;;;;1.51.323;;32;;
5116;;2000;;;;1.51.339;;56;;
5117;;2000;;;;1.51.331;;68;;
5118;;2000;;;;1.51.336;;66;;
5119;;2000;;;;1.51.334;;33;;
5120;;2000;;;;1.51.335;;75;;
5121;;2000;;;;1.51.337;;78;;
5122;;2000;;;;1.51.348;;49;;
5123;;2000;;;;1.51.349;;105;;
5124;;2000;;;;1.51.329;;23;;
5125;;2000;;;;1.51.347;;91;;
5126;;2000;;;;1.51.355;;102;;
5127;;2000;;;;1.51.354;;68;;
5128;;2000;;;;1.53.102;;150;22;
5129;;2000;;;;1.53.103;;109;14;
5130;;2000;;;;1.53.104;;120;26;
