IE_XML_ID;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148
4943;2000;;;;1.50.143;70;73;;;;;;;2000;1500;
4944;2000;;;;1.50.144;82;80;;;;;;;2500;1500;
4945;2000;;;;1.50.145;264;90;;;;;;;1500;550;4500
4946;2000;;;;1.50.146;74;148;;;;;;;1500;1500;
4947;2000;;;;1.50.147;127;173;;;;;;;4500;4500;
4948;2000;;;;1.50.148;120;117;;;;;;;3500;3000;
4950;2000;;;;1.50.150;40;41;;;;;;;1500;1000;
4951;2000;;;;1.50.151;144;170;;;;;;;3500;3500;
4952;2000;;;;1.50.152;155;172;;;;;;;3500;3500;
4953;2000;;;;1.50.153;160;170;;;;;;;3000;2500;
4954;2000;;;;1.50.154;23;23;;;;;;;1000;550;
4955;2000;;;;1.50.155;17;26;;;;;;;1000;1000;
4956;2000;;;;1.50.156;30;30;;;;;;;1000;1000;
4957;2000;;;;1.50.157;31;33;;;;;;;1000;550;
4958;2000;;;;1.50.158;33;33;;;;;;;1000;550;
4959;2000;;;;1.50.159;22;45;;;;;;;1000;550;
4960;2000;;;;1.50.160;70;51;;;;;;;2000;1500;
4961;2000;;;;1.50.162;61;84;;;;;;;2000;1500;
4962;2000;;;;1.50.163;68;148;;;;;;;2000;2000;
4963;2000;;;;1.50.164;126;126;;;;;;;3500;3000;
4964;2000;;;;1.50.165;81;83;;;;;;;2500;2000;
4965;2000;;;;1.50.166;86;142;;;;;;;2500;2500;
4966;2000;;;;1.50.168;120;119;;;;;;;3000;3000;
4967;2000;;;;1.50.169;95;102;;;;;;;2500;2000;
4968;2000;;;;1.50.170;113;80;;;;;;;2500;2000;
4969;2000;;;;1.50.171;30;45;;;;;;;1000;550;
4970;2000;;;;1.50.172;48;47;;;;;;;1500;1000;
4971;2000;;;;1.50.173;40;55;;;;;;;1500;1000;
4972;2000;;;;1.50.174;36;61;;;;;;;1500;1000;
4973;2000;;;;1.50.175;119;133;;;;;;;2500;2000;
4974;2000;;;;1.50.176;67;131;;;;;;;1500;2000;
4975;2000;;;;1.50.177;55;120;;;;;;;1500;1500;
4976;2000;;;;1.50.180;94;120;;;;;;;2500;2000;
4977;2000;;;;1.50.181;38;75;;;;;;;1500;1000;
4978;2000;;;;1.50.182;40;67;;;;;;;1500;1000;
4979;2000;;;;1.50.183;84;96;;;;;;;2000;1500;
4980;2000;;;;1.50.184;72;74;;;;;;;2000;1500;
4981;2000;;;;1.50.185;98;115;;;;;;;2000;1500;
4982;2000;;;;1.50.186;56;83;;;;;;;1500;1000;
4983;2000;;;;1.50.187;51;51;;;;;;;1500;1000;
4984;2000;;;;1.50.188;50;53;;;;;;;1500;1000;
4985;2000;;;;1.50.190;25;40;;;;;;;1000;550;
4986;2000;;;;1.50.191;25;40;;;;;;;1000;550;
4987;2000;;;;1.50.192;40;70;;;;;;;1500;1000;
4988;2000;;;;1.50.193;55;91;;;;;;;1500;1000;
4989;2000;;;;1.50.194;51;52;;;;;;;1500;1000;
4990;2000;;;;1.50.195;55;51;;;;;;;1500;1000;
4991;2000;;;;1.50.197;73;76;;;;;;;2000;2000;
4992;2000;;;;1.50.200;55;55;;;;;;;1500;1000;
4993;2000;;;;1.50.202;97;103;;;;;;;2500;1500;
4994;2000;;;;1.50.203;129;115;;;;;;;2500;1500;
4995;2000;;;;1.50.209;118;150;;;;;;;4000;;
4996;2000;;;;1.50.210;121;155;;;;;;;4000;;
4997;2000;;;;1.50.220;122;126;;;;;;;4000;;
4998;2000;;;;1.50.221;140;150;;;;;;;4000;;
4999;2000;;;;1.50.222;162;170;;;;;;;4500;;
5000;2000;;;;1.50.250;73;164;;;;;;;1500;2000;
5001;2000;;;;1.50.251;55;70;;;;;;;1500;1500;
5002;2000;;;;1.50.252;120;119;;;;;;;3000;2500;
5003;2000;;;;1.50.253;66;108;;;;;;;2500;2000;
5004;2000;;;;1.50.254;93;130;;;;;;;2500;2000;
5005;2000;;;;1.50.255;82;127;;;;;;;3500;3000;
5006;2000;;;;1.50.256;132;175;;;;;;;4000;3500;
5007;2000;;;;1.50.257;38;38;;;;;;;1000;1000;1000
5008;2000;;;;1.50.258;25;27;;;;;;;1000;1000;
5009;2000;;;;1.50.259;36;81;;;;;;;1500;1500;
5010;2000;;;;1.50.260;133;166;;;;;;;3500;;
5011;2000;;;;1.50.261;102;101;;;;;;;3500;;
5012;2000;;;;1.50.262;50;120;;;;;;;1000;1000;
5013;2000;;;;1.50.264;170;170;;;;;;;5000;4500;
5014;2000;;;;1.50.265;115;21;;;;;;;3000;3000;
5015;2000;;;;1.50.266;76;21;;;;;;;1500;1000;
5016;2000;;;;1.50.267;171;33;;;;;;;>5000;;
5017;2000;;;;1.50.268;170;33;;;;;;;>5000;;
5018;2000;;;;1.50.269;220;47;;;;;;;>5000;;
5019;2000;;;;1.50.270;220;47;;;;;;;>5000;;
5020;2000;;;;1.51.311;;86;;;;;;20;;;
5021;2000;;;;1.51.314;;66;;;;;;18;;;
5022;2000;;;;1.51.327;;80;;;;;;21;;;
5023;2000;;;;1.51.301;;42;;;;;;16;;;
5024;2000;;;;1.51.305;;28;;;;;;15;;;
5025;2000;;;;1.51.321;;19;;;;;;8;;;
5026;2000;;;;1.51.400;;44;;;;;;16;;;
5027;2000;;;;1.51.302;;60;;;;;;25;;;
5028;2000;;;;1.51.303;;82;;;;;;19;;;
5029;2000;;;;1.51.304;;51;;;;;;25;;;
5030;2000;;;;1.51.306;;31;;;;;;10;;;
5031;2000;;;;1.51.307;;96;;;;;;25;;;
5032;2000;;;;1.51.324;;54;;;;;;12;;;
5033;2000;;;;1.51.352;;36;;;;;;21;;;
5034;2000;;;;1.51.325;;125;;;;;;15;;;
5035;2000;;;;1.51.312;;40;;;;;;19;;;
5036;2000;;;;1.51.332;;50;;;;;;16;;;
5037;2000;;;;1.51.350;;139;;;;;;36;;;
5038;2000;;;;1.51.326;;50;;;;;;28;;;
5039;2000;;;;1.51.308;;41;;;;;;20;;;
5040;2000;;;;1.51.309;;74;;;;;;21;;;
5041;2000;;;;1.51.310;;96;;;;;;19;;;
5042;2000;;;;1.51.313;;53;;;;;;20;;;
5043;2000;;;;1.51.315;;75;;;;;;22;;;
5044;2000;;;;1.51.316;;90;;;;;;18;;;
5045;2000;;;;1.51.317;;101;;;;;;20;;;
