IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP254
5024;молдинг;1.51.305;Нет;278,72
5025;молдинг;1.51.321;Нет;261,07
5026;молдинг;1.51.400;Нет;280,48
5027;молдинг;1.51.302;Нет;356,33
5028;молдинг;1.51.303;Нет;361,62
5029;молдинг;1.51.304;Нет;345,75
5030;молдинг;1.51.306;Нет;285,77
5031;молдинг;1.51.307;Нет;541,55
5032;молдинг;1.51.324;Нет;261,07
5033;молдинг;1.51.352;Нет;322,82
5034;молдинг;1.51.325;Нет;576,83
5035;молдинг;1.51.312;Нет;319,29
5036;молдинг;1.51.332;Нет;373,97
5037;молдинг;1.51.350;Нет;582,13
5038;молдинг;1.51.326;Нет;333,4
5039;молдинг;1.51.308;Нет;296,36
5040;молдинг;1.51.309;Нет;455,12
5041;молдинг;1.51.310;Нет;541,55
5042;молдинг;1.51.313;Нет;336,93
5043;молдинг;1.51.315;Нет;349,28
5044;молдинг;1.51.316;Нет;322,82
5045;молдинг;1.51.317;Нет;513,33
5046;молдинг;1.51.318;Нет;361,62
5047;молдинг;1.51.319;Нет;587,42
5048;молдинг;1.51.320;Нет;557,43
5049;молдинг;1.51.322;Нет;232,85
5050;молдинг;1.51.328;Нет;333,4
5051;молдинг;1.51.330;Нет;352,8
5052;молдинг;1.51.333;Нет;345,75
5053;молдинг;1.51.340;Нет;328,11
5054;молдинг;1.51.341;Нет;463,94
5055;молдинг;1.51.342;Нет;463,94
5056;молдинг;1.51.343;Нет;428,66
5057;молдинг;1.51.344;Нет;463,94
5058;молдинг;1.51.351;Нет;342,22
5059;молдинг;1.51.380;Нет;769,11
5060;молдинг;1.51.401;Нет;262,84
5061;молдинг;1.51.323;Нет;236,38
5062;молдинг;1.51.339;Нет;381,03
5063;молдинг;1.51.331;Нет;359,86
5064;молдинг;1.51.336;Нет;373,97
5065;молдинг;1.51.334;Нет;282,24
5066;молдинг;1.51.335;Нет;308,7
5067;молдинг;1.51.337;Нет;437,48
5068;молдинг;1.51.348;Нет;389,85
5069;молдинг;1.51.349;Нет;654,45
5070;молдинг;1.51.329;Нет;241,67
5071;молдинг;1.51.347;Нет;613,88
5072;молдинг;1.51.355;Нет;633,28
5073;молдинг;1.51.354;Нет;402,2
5074;молдинг FLEX;1.51.311;Да;1116,62
5075;молдинг FLEX;1.51.314;Да;675,62
5076;молдинг FLEX;1.51.327;Да;922,58
5077;молдинг FLEX;1.51.301;Да;594,47
5078;молдинг FLEX;1.51.305;Да;555,67
5079;молдинг FLEX;1.51.321;Да;522,15
5080;молдинг FLEX;1.51.400;Да;557,43
5081;молдинг FLEX;1.51.302;Да;714,43
5082;молдинг FLEX;1.51.303;Да;723,25
5083;молдинг FLEX;1.51.304;Да;689,73
5084;молдинг FLEX;1.51.306;Да;569,78
5085;молдинг FLEX;1.51.307;Да;1083,11
5086;молдинг FLEX;1.51.324;Да;522,15
5087;молдинг FLEX;1.51.352;Да;647,4
5088;молдинг FLEX;1.51.325;Да;1151,9
5089;молдинг FLEX;1.51.312;Да;636,81
5090;молдинг FLEX;1.51.332;Да;747,94
5091;молдинг FLEX;1.51.350;Да;1162,49
5092;молдинг FLEX;1.51.326;Да;665,04
5093;молдинг FLEX;1.51.308;Да;590,95
5094;молдинг FLEX;1.51.309;Да;910,23
5095;молдинг FLEX;1.51.310;Да;1083,11
5096;молдинг FLEX;1.51.313;Да;675,62
5097;молдинг FLEX;1.51.315;Да;698,55
5098;молдинг FLEX;1.51.316;Да;647,4
5099;молдинг FLEX;1.51.317;Да;1024,9
5100;молдинг FLEX;1.51.318;Да;723,25
5101;молдинг FLEX;1.51.319;Да;1171,31
5102;молдинг FLEX;1.51.320;Да;1116,62
