IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1;IP_PROP706;IP_PROP707;IC_GROUP0;IC_GROUP1;IC_GROUP2
4861;карниз 1.50.193;1.50.193;N;2000;;;;57;90;;;;;;;;;;899.00;500;13,2;Интерьерный декор;карнизы;
4862;карниз 1.50.194;1.50.194;N;2000;;;;50;50;;;;;;;;;;1378.00;500;8,4;Интерьерный декор;карнизы;
4863;карниз 1.50.195;1.50.195;N;2000;;;;53;53;;;;;;;;;;901.00;500;9,4;Интерьерный декор;карнизы;
4864;карниз 1.50.196;1.50.196;N;2000;;;;53;70;;;;;;;;;;1454.00;500;19,2;Интерьерный декор;карнизы;
4865;карниз 1.50.197;1.50.197;N;2000;;;;73;77;;;;;;;;;;963.00;500;10,3;Интерьерный декор;карнизы;
4866;карниз 1.50.198;1.50.198;N;2000;;;;92;87;;;;;;;;;;1573.00;500;15,8;Интерьерный декор;карнизы;
4868;карниз 1.50.201;1.50.201;N;2000;;;;130;171;;;;;;;;;;3548.00;550;24,8;Интерьерный декор;карнизы;
4870;карниз 1.50.203;1.50.203;N;2000;;;;128;116;;;;;;;;;;1694.00;550;19,8;Интерьерный декор;карнизы;
4871;карниз 1.50.204;1.50.204;N;2000;;;;40;36;;;;;;;;;;827.00;429;5,4;Интерьерный декор;карнизы;
4872;карниз 1.50.208;1.50.208;N;2000;;;;71;71;;;;;;;;;;1531.00;500;9,7;Интерьерный декор;карнизы;
4873;карниз 1.50.209;1.50.209;N;2000;;;;117;152;;;;;;;;;;3322.00;550;30,4;Интерьерный декор;карнизы;
4874;карниз 1.50.210;1.50.210;N;2000;;;;121;156;;;;;;;;;;2084.00;564;33,9;Интерьерный декор;карнизы;
4875;карниз 1.50.211;1.50.211;N;2000;;;;176;72;;;;;;;;;;3558.00;457;42;Интерьерный декор;карнизы;
4876;карниз 1.50.212;1.50.212;N;2000;;;;169;74;;;;;;;;;;2135.00;457;34,5;Интерьерный декор;карнизы;
4877;карниз 1.50.220;1.50.220;N;2000;;;;122;127;;;;;;;;;;3082.00;564;28;Интерьерный декор;карнизы;
4878;карниз 1.50.221;1.50.221;N;2000;;;;143;150;;;;;;;;;;3607.00;564;46;Интерьерный декор;карнизы;
4879;карниз 1.50.222;1.50.222;N;2000;;;;164;166;;;;;;;;;;3978.00;564;43,9;Интерьерный декор;карнизы;
4880;карниз 1.50.250;1.50.250;N;2000;;;;72;164;;;;;;;;;;1562.00;457;24;Интерьерный декор;карнизы;
4881;карниз 1.50.251;1.50.251;N;2000;;;;55;70;;;;;;;;;;1009.00;429;10,9;Интерьерный декор;карнизы;
