IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP160;IP_PROP180;IC_GROUP0;IC_GROUP1;IC_GROUP2
4887;карниз;1.50.257;Нет;ВР000005752;;Интерьерный декор;карнизы;
4888;карниз;1.50.258;Нет;ВР000005754;;Интерьерный декор;карнизы;
4889;карниз;1.50.259;Нет;ВР000005756;;Интерьерный декор;карнизы;
4890;карниз;1.50.260;Нет;ВР000006884;;Интерьерный декор;карнизы;
4891;карниз;1.50.261;Нет;ВР001000006;;Интерьерный декор;карнизы;
4892;карниз;1.50.262;Нет;ВР001000028;;Интерьерный декор;карнизы;
4893;карниз;1.50.264;Нет;ВР001002926;;Интерьерный декор;карнизы;
4894;карниз;1.50.265;Нет;ВР001007508;;Интерьерный декор;карнизы;
4895;карниз;1.50.266;Нет;ВР001007509;;Интерьерный декор;карнизы;
4896;карниз;1.50.267;Нет;ВР001007510;;Интерьерный декор;карнизы;
4897;карниз;1.50.268;Нет;ВР001007511;;Интерьерный декор;карнизы;
4898;карниз;1.50.269;Нет;ВР001007512;;Интерьерный декор;карнизы;
4899;карниз;1.50.270;Нет;ВР001007513;;Интерьерный декор;карнизы;
4900;карниз;1.50.271;Нет;ВР002025312;;Интерьерный декор;карнизы;
4901;карниз;1.50.273;Нет;ВР002025512;;Интерьерный декор;карнизы;
4902;карниз FLEX;1.50.114;Да;ВР000005865;;Интерьерный декор;гибкие карнизы;
4903;карниз FLEX;1.50.115;Да;ВР000005846;;Интерьерный декор;гибкие карнизы;
4904;карниз FLEX;1.50.116;Да;ВР000005863;;Интерьерный декор;гибкие карнизы;
4905;карниз FLEX;1.50.117;Да;ВР000005856;;Интерьерный декор;гибкие карнизы;
4906;карниз FLEX;1.50.118;Да;ВР000005875;;Интерьерный декор;гибкие карнизы;
4907;карниз FLEX;1.50.119;Да;ВР000005873;;Интерьерный декор;гибкие карнизы;
4908;карниз FLEX;1.50.120;Да;ВР000005874;;Интерьерный декор;гибкие карнизы;
4909;карниз FLEX;1.50.121;Да;ВР000005853;;Интерьерный декор;гибкие карнизы;
4910;карниз FLEX;1.50.122;Да;ВР000005847;;Интерьерный декор;гибкие карнизы;
4911;карниз FLEX;1.50.100;Да;ВР000005843;;Интерьерный декор;гибкие карнизы;
4912;карниз FLEX;1.50.102;Да;ВР000005914;;Интерьерный декор;гибкие карнизы;
4913;карниз FLEX;1.50.103;Да;ВР000005908;;Интерьерный декор;гибкие карнизы;
4914;карниз FLEX;1.50.104;Да;ВР000005862;;Интерьерный декор;гибкие карнизы;
4915;карниз FLEX;1.50.105;Да;ВР000005897;;Интерьерный декор;гибкие карнизы;
4916;карниз FLEX;1.50.106;Да;ВР000006081;;Интерьерный декор;гибкие карнизы;
4917;карниз FLEX;1.50.107;Да;ВР000005909;;Интерьерный декор;гибкие карнизы;
4918;карниз FLEX;1.50.109;Да;ВР000005883;;Интерьерный декор;гибкие карнизы;
4919;карниз FLEX;1.50.110;Да;ВР000005887;;Интерьерный декор;гибкие карнизы;
4920;карниз FLEX;1.50.111;Да;ВР000005864;;Интерьерный декор;гибкие карнизы;
4921;карниз FLEX;1.50.112;Да;ВР000005861;;Интерьерный декор;гибкие карнизы;
4922;карниз FLEX;1.50.113;Да;ВР000005851;;Интерьерный декор;гибкие карнизы;
4923;карниз FLEX;1.50.123;Да;ВР000005872;;Интерьерный декор;гибкие карнизы;
4924;карниз FLEX;1.50.124;Да;ВР000005877;;Интерьерный декор;гибкие карнизы;
4925;карниз FLEX;1.50.125;Да;ВР000005878;;Интерьерный декор;гибкие карнизы;
4926;карниз FLEX;1.50.126;Да;ВР000005907;;Интерьерный декор;гибкие карнизы;
4927;карниз FLEX;1.50.127;Да;ВР000005882;;Интерьерный декор;гибкие карнизы;
4928;карниз FLEX;1.50.128;Да;ВР000005880;;Интерьерный декор;гибкие карнизы;
4929;карниз FLEX;1.50.129;Да;ВР000005913;;Интерьерный декор;гибкие карнизы;
4930;карниз FLEX;1.50.130;Да;ВР000005845;;Интерьерный декор;гибкие карнизы;
4931;карниз FLEX;1.50.131;Да;ВР000005854;;Интерьерный декор;гибкие карнизы;
4932;карниз FLEX;1.50.132;Да;ВР000005858;;Интерьерный декор;гибкие карнизы;
4933;карниз FLEX;1.50.133;Да;ВР000005855;;Интерьерный декор;гибкие карнизы;
4934;карниз FLEX;1.50.134;Да;ВР000005857;;Интерьерный декор;гибкие карнизы;
4935;карниз FLEX;1.50.135;Да;ВР000005871;;Интерьерный декор;гибкие карнизы;
4936;карниз FLEX;1.50.136;Да;ВР000005879;;Интерьерный декор;гибкие карнизы;
4937;карниз FLEX;1.50.137;Да;ВР000005876;;Интерьерный декор;гибкие карнизы;
4938;карниз FLEX;1.50.138;Да;ВР000005881;;Интерьерный декор;гибкие карнизы;
4939;карниз FLEX;1.50.139;Да;ВР000006252;;Интерьерный декор;гибкие карнизы;
4940;карниз FLEX;1.50.140;Да;ВР000005848;;Интерьерный декор;гибкие карнизы;
4941;карниз FLEX;1.50.141;Да;ВР000005911;;Интерьерный декор;гибкие карнизы;
4942;карниз FLEX;1.50.142;Да;ВР000005890;;Интерьерный декор;гибкие карнизы;
4943;карниз FLEX;1.50.143;Да;ВР000006083;;Интерьерный декор;гибкие карнизы;
4944;карниз FLEX;1.50.144;Да;ВР000005898;;Интерьерный декор;гибкие карнизы;
4945;карниз FLEX;1.50.145;Да;ВР000005891;;Интерьерный декор;гибкие карнизы;
4946;карниз FLEX;1.50.146;Да;ВР000005915;;Интерьерный декор;гибкие карнизы;
4947;карниз FLEX;1.50.147;Да;ВР000005892;;Интерьерный декор;гибкие карнизы;
4948;карниз FLEX;1.50.148;Да;ВР000006277;;Интерьерный декор;гибкие карнизы;
4949;карниз FLEX;1.50.149;Да;ВР001022450;;Интерьерный декор;гибкие карнизы;
4950;карниз FLEX;1.50.150;Да;ВР000005844;;Интерьерный декор;гибкие карнизы;
4951;карниз FLEX;1.50.151;Да;ВР001022119;;Интерьерный декор;гибкие карнизы;
4952;карниз FLEX;1.50.152;Да;ВР001022120;;Интерьерный декор;гибкие карнизы;
4953;карниз FLEX;1.50.153;Да;ВР001022121;;Интерьерный декор;гибкие карнизы;
4954;карниз FLEX;1.50.154;Да;ВР001022868;;Интерьерный декор;гибкие карнизы;
4955;карниз FLEX;1.50.155;Да;ВР001022867;;Интерьерный декор;гибкие карнизы;
4956;карниз FLEX;1.50.156;Да;ВР001022866;;Интерьерный декор;гибкие карнизы;
4957;карниз FLEX;1.50.157;Да;ВР001022865;;Интерьерный декор;гибкие карнизы;
4958;карниз FLEX;1.50.158;Да;ВР001022864;;Интерьерный декор;гибкие карнизы;
4959;карниз FLEX;1.50.159;Да;ВР001022863;;Интерьерный декор;гибкие карнизы;
4960;карниз FLEX;1.50.160;Да;ВР000005849;;Интерьерный декор;гибкие карнизы;
4961;карниз FLEX;1.50.162;Да;ВР000005884;;Интерьерный декор;гибкие карнизы;
4962;карниз FLEX;1.50.163;Да;ВР000005889;;Интерьерный декор;гибкие карнизы;
4963;карниз FLEX;1.50.164;Да;ВР000005886;;Интерьерный декор;гибкие карнизы;
4964;карниз FLEX;1.50.165;Да;ВР000005850;;Интерьерный декор;гибкие карнизы;
4965;карниз FLEX;1.50.166;Да;ВР000005888;;Интерьерный декор;гибкие карнизы;
4966;карниз FLEX;1.50.168;Да;ВР000005893;4838;Интерьерный декор;гибкие карнизы;
4967;карниз FLEX;1.50.169;Да;ВР000006092;;Интерьерный декор;гибкие карнизы;
4968;карниз FLEX;1.50.170;Да;ВР000005852;;Интерьерный декор;гибкие карнизы;
4969;карниз FLEX;1.50.171;Да;ВР001022862;;Интерьерный декор;гибкие карнизы;
4970;карниз FLEX;1.50.172;Да;ВР001022861;;Интерьерный декор;гибкие карнизы;
4971;карниз FLEX;1.50.173;Да;ВР001022860;;Интерьерный декор;гибкие карнизы;
4972;карниз FLEX;1.50.174;Да;ВР001022859;;Интерьерный декор;гибкие карнизы;
4973;карниз FLEX;1.50.175;Да;ВР000005868;;Интерьерный декор;гибкие карнизы;
4974;карниз FLEX;1.50.176;Да;ВР000005910;;Интерьерный декор;гибкие карнизы;
4975;карниз FLEX;1.50.177;Да;ВР000006276;;Интерьерный декор;гибкие карнизы;
4976;карниз FLEX;1.50.180;Да;ВР000005866;;Интерьерный декор;гибкие карнизы;
4977;карниз FLEX;1.50.181;Да;ВР001023419;;Интерьерный декор;гибкие карнизы;
4978;карниз FLEX;1.50.182;Да;ВР001023420;;Интерьерный декор;гибкие карнизы;
4979;карниз FLEX;1.50.183;Да;ВР001023421;;Интерьерный декор;гибкие карнизы;
4980;карниз FLEX;1.50.184;Да;ВР001023422;;Интерьерный декор;гибкие карнизы;
4981;карниз FLEX;1.50.185;Да;ВР001023423;;Интерьерный декор;гибкие карнизы;
4982;карниз FLEX;1.50.186;Да;ВР001023424;;Интерьерный декор;гибкие карнизы;
4983;карниз FLEX;1.50.187;Да;ВР001023425;;Интерьерный декор;гибкие карнизы;
4984;карниз FLEX;1.50.188;Да;ВР001023694;;Интерьерный декор;гибкие карнизы;
4985;карниз FLEX;1.50.190;Да;ВР001024051;;Интерьерный декор;гибкие карнизы;
4986;карниз FLEX;1.50.191;Да;ВР001024052;;Интерьерный декор;гибкие карнизы;
4987;карниз FLEX;1.50.192;Да;ВР002025146;;Интерьерный декор;гибкие карнизы;
4988;карниз FLEX;1.50.193;Да;ВР002025143;;Интерьерный декор;гибкие карнизы;
4989;карниз FLEX;1.50.194;Да;ВР002025138;;Интерьерный декор;гибкие карнизы;
4990;карниз FLEX;1.50.195;Да;ВР002025295;;Интерьерный декор;гибкие карнизы;
4991;карниз FLEX;1.50.197;Да;ВР002025292;;Интерьерный декор;гибкие карнизы;
4992;карниз FLEX;1.50.200;Да;ВР002025311;;Интерьерный декор;гибкие карнизы;
4993;карниз FLEX;1.50.202;Да;ВР002025340;;Интерьерный декор;гибкие карнизы;
4994;карниз FLEX;1.50.203;Да;ВР002025342;;Интерьерный декор;гибкие карнизы;
4995;карниз FLEX;1.50.209;Да;ВР000005859;;Интерьерный декор;гибкие карнизы;
4996;карниз FLEX;1.50.210;Да;ВР000005860;;Интерьерный декор;гибкие карнизы;
4997;карниз FLEX;1.50.220;Да;ВР000005867;;Интерьерный декор;гибкие карнизы;
4998;карниз FLEX;1.50.221;Да;ВР000005869;;Интерьерный декор;гибкие карнизы;
4999;карниз FLEX;1.50.222;Да;ВР000005870;;Интерьерный декор;гибкие карнизы;
5000;карниз FLEX;1.50.250;Да;ВР000005895;;Интерьерный декор;гибкие карнизы;
5001;карниз FLEX;1.50.251;Да;ВР000005900;;Интерьерный декор;гибкие карнизы;
5002;карниз FLEX;1.50.252;Да;ВР000005885;;Интерьерный декор;гибкие карнизы;
5003;карниз FLEX;1.50.253;Да;ВР000005896;;Интерьерный декор;гибкие карнизы;
5004;карниз FLEX;1.50.254;Да;ВР000005899;;Интерьерный декор;гибкие карнизы;
5005;карниз FLEX;1.50.255;Да;ВР000005901;;Интерьерный декор;гибкие карнизы;
5006;карниз FLEX;1.50.256;Да;ВР000005902;;Интерьерный декор;гибкие карнизы;
5007;карниз FLEX;1.50.257;Да;ВР000005903;;Интерьерный декор;гибкие карнизы;
5008;карниз FLEX;1.50.258;Да;ВР000005904;;Интерьерный декор;гибкие карнизы;
5009;карниз FLEX;1.50.259;Да;ВР000005905;;Интерьерный декор;гибкие карнизы;
5010;карниз FLEX;1.50.260;Да;ВР001002940;;Интерьерный декор;гибкие карнизы;
5011;карниз FLEX;1.50.261;Да;ВР001002929;;Интерьерный декор;гибкие карнизы;
5012;карниз FLEX;1.50.262;Да;ВР001002939;;Интерьерный декор;гибкие карнизы;
5013;карниз FLEX;1.50.264;Да;ВР001002938;;Интерьерный декор;гибкие карнизы;
5014;карниз FLEX;1.50.265;Да;ВР001008167;;Интерьерный декор;гибкие карнизы;
5015;карниз FLEX;1.50.266;Да;ВР001008165;;Интерьерный декор;гибкие карнизы;
5016;карниз FLEX;1.50.267;Да;ВР001008162;;Интерьерный декор;гибкие карнизы;
5017;карниз FLEX;1.50.268;Да;ВР001008163;;Интерьерный декор;гибкие карнизы;
5018;карниз FLEX;1.50.269;Да;ВР001008164;;Интерьерный декор;гибкие карнизы;
5019;карниз FLEX;1.50.270;Да;ВР001008166;;Интерьерный декор;гибкие карнизы;
5020;молдинг;1.51.311;Нет;ВР000001522;;Интерьерный декор;молдинги;
5021;молдинг;1.51.314;Нет;ВР000001642;5151;Интерьерный декор;молдинги;
5021;молдинг;1.51.314;Нет;ВР000001642;5165;Интерьерный декор;молдинги;
5021;молдинг;1.51.314;Нет;ВР000001642;5157;Интерьерный декор;молдинги;
5022;молдинг;1.51.327;Нет;ВР000004028;;Интерьерный декор;молдинги;
5023;молдинг;1.51.301;Нет;ВР000001059;5147;Интерьерный декор;молдинги;
5023;молдинг;1.51.301;Нет;ВР000001059;5152;Интерьерный декор;молдинги;
5023;молдинг;1.51.301;Нет;ВР000001059;5153;Интерьерный декор;молдинги;
5023;молдинг;1.51.301;Нет;ВР000001059;5145;Интерьерный декор;молдинги;
5024;молдинг;1.51.305;Нет;ВР000001062;;Интерьерный декор;молдинги;
5025;молдинг;1.51.321;Нет;ВР000005725;;Интерьерный декор;молдинги;
5026;молдинг;1.51.400;Нет;ВР000005827;5155;Интерьерный декор;молдинги;
5027;молдинг;1.51.302;Нет;ВР000001060;5146;Интерьерный декор;молдинги;
5028;молдинг;1.51.303;Нет;ВР000001061;;Интерьерный декор;молдинги;
5029;молдинг;1.51.304;Нет;ВР000001167;;Интерьерный декор;молдинги;
5030;молдинг;1.51.306;Нет;ВР000001064;;Интерьерный декор;молдинги;
5031;молдинг;1.51.307;Нет;ВР000001065;;Интерьерный декор;молдинги;
5032;молдинг;1.51.324;Нет;ВР000002932;;Интерьерный декор;молдинги;
5033;молдинг;1.51.352;Нет;ВР000005503;5160;Интерьерный декор;молдинги;
5033;молдинг;1.51.352;Нет;ВР000005503;5161;Интерьерный декор;молдинги;
5034;молдинг;1.51.325;Нет;ВР000002935;;Интерьерный декор;молдинги;
5035;молдинг;1.51.312;Нет;ВР000001595;5150;Интерьерный декор;молдинги;
5035;молдинг;1.51.312;Нет;ВР000001595;5149;Интерьерный декор;молдинги;
5035;молдинг;1.51.312;Нет;ВР000001595;5163;Интерьерный декор;молдинги;
5036;молдинг;1.51.332;Нет;ВР001023823;;Интерьерный декор;молдинги;
5037;молдинг;1.51.350;Нет;ВР000005488;;Интерьерный декор;молдинги;
5038;молдинг;1.51.326;Нет;ВР000004305;5144;Интерьерный декор;молдинги;
5039;молдинг;1.51.308;Нет;ВР000001175;6358;Интерьерный декор;молдинги;
5039;молдинг;1.51.308;Нет;ВР000001175;5156;Интерьерный декор;молдинги;
5039;молдинг;1.51.308;Нет;ВР000001175;5159;Интерьерный декор;молдинги;
5039;молдинг;1.51.308;Нет;ВР000001175;5158;Интерьерный декор;молдинги;
5039;молдинг;1.51.308;Нет;ВР000001175;5162;Интерьерный декор;молдинги;
5040;молдинг;1.51.309;Нет;ВР000001170;;Интерьерный декор;молдинги;
5041;молдинг;1.51.310;Нет;ВР000001183;;Интерьерный декор;молдинги;
5042;молдинг;1.51.313;Нет;ВР000004235;5164;Интерьерный декор;молдинги;
5043;молдинг;1.51.315;Нет;ВР000001942;;Интерьерный декор;молдинги;
5044;молдинг;1.51.316;Нет;ВР000002045;;Интерьерный декор;молдинги;
5045;молдинг;1.51.317;Нет;ВР000002067;;Интерьерный декор;молдинги;
5046;молдинг;1.51.318;Нет;ВР000002158;5166;Интерьерный декор;молдинги;
5047;молдинг;1.51.319;Нет;ВР000002566;;Интерьерный декор;молдинги;
5048;молдинг;1.51.320;Нет;ВР000002330;;Интерьерный декор;молдинги;
5049;молдинг;1.51.322;Нет;ВР001022869;6357;Интерьерный декор;молдинги;
5049;молдинг;1.51.322;Нет;ВР001022869;6355;Интерьерный декор;молдинги;
5049;молдинг;1.51.322;Нет;ВР001022869;6434;Интерьерный декор;молдинги;
5050;молдинг;1.51.328;Нет;ВР000005631;5154;Интерьерный декор;молдинги;
5051;молдинг;1.51.330;Нет;ВР000004389;;Интерьерный декор;молдинги;
5052;молдинг;1.51.333;Нет;ВР000004893;;Интерьерный декор;молдинги;
5053;молдинг;1.51.340;Нет;ВР000002481;;Интерьерный декор;молдинги;
5054;молдинг;1.51.341;Нет;ВР001007514;;Интерьерный декор;молдинги;
5055;молдинг;1.51.342;Нет;ВР001007515;;Интерьерный декор;молдинги;
5056;молдинг;1.51.343;Нет;ВР001007516;;Интерьерный декор;молдинги;
5057;молдинг;1.51.344;Нет;ВР001007518;;Интерьерный декор;молдинги;
5058;молдинг;1.51.351;Нет;ВР000005561;;Интерьерный декор;молдинги;
5059;молдинг;1.51.380;Нет;ВР000004027;;Интерьерный декор;молдинги;
5060;молдинг;1.51.401;Нет;ВР000005728;;Интерьерный декор;молдинги;
5061;молдинг;1.51.323;Нет;ВР001022870;;Интерьерный декор;молдинги;
5062;молдинг;1.51.339;Нет;ВР001023833;;Интерьерный декор;молдинги;
5063;молдинг;1.51.331;Нет;ВР001023821;;Интерьерный декор;молдинги;
5064;молдинг;1.51.336;Нет;ВР001023829;;Интерьерный декор;молдинги;
5065;молдинг;1.51.334;Нет;ВР001023825;;Интерьерный декор;молдинги;
5066;молдинг;1.51.335;Нет;ВР001023827;;Интерьерный декор;молдинги;
5067;молдинг;1.51.337;Нет;ВР001023831;;Интерьерный декор;молдинги;
5068;молдинг;1.51.348;Нет;ВР002025333;6356;Интерьерный декор;молдинги;
5069;молдинг;1.51.349;Нет;ВР002025335;;Интерьерный декор;молдинги;
5070;молдинг;1.51.329;Нет;ВР001023819;;Интерьерный декор;молдинги;
5071;молдинг;1.51.347;Нет;ВР002025135;;Интерьерный декор;молдинги;
5072;молдинг;1.51.355;Нет;ВР002025434;;Интерьерный декор;молдинги;
5073;молдинг;1.51.354;Нет;ВР002025432;;Интерьерный декор;молдинги;
5074;молдинг FLEX;1.51.311;Да;ВР000005927;;Интерьерный декор;гибкие молдинги;
5075;молдинг FLEX;1.51.314;Да;ВР000005928;5151;Интерьерный декор;гибкие молдинги;
5075;молдинг FLEX;1.51.314;Да;ВР000005928;5165;Интерьерный декор;гибкие молдинги;
5075;молдинг FLEX;1.51.314;Да;ВР000005928;5157;Интерьерный декор;гибкие молдинги;
5076;молдинг FLEX;1.51.327;Да;ВР000005938;;Интерьерный декор;гибкие молдинги;
5077;молдинг FLEX;1.51.301;Да;ВР000005917;5147;Интерьерный декор;гибкие молдинги;
