IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149
4897;карниз;1.50.268;2000;;;;170;33;;;;;;;;;
4898;карниз;1.50.269;2000;;;;220;47;;;;;;;;;
4899;карниз;1.50.270;2000;;;;220;47;;;;;;;;;
4900;карниз;1.50.271;2000;;;;165;226;;;;;;;;;
4901;карниз;1.50.273;2000;;;;130;198;;;;;;;;;
4902;карниз FLEX;1.50.114;2000;;;;30;66;1500;1000;;;;;;;
4903;карниз FLEX;1.50.115;2000;;;;46;49;2500;2000;;;;;;;
4904;карниз FLEX;1.50.116;2000;;;;100;99;4000;3000;;;;;;;
4905;карниз FLEX;1.50.117;2000;;;;105;156;3000;2500;;;;;;;
4906;карниз FLEX;1.50.118;2000;;;;132;130;3500;2500;;;;;;;
4907;карниз FLEX;1.50.119;2000;;;;50;117;2500;2000;;;;;;;
4908;карниз FLEX;1.50.120;2000;;;;122;143;4500;4000;;;;;;;
4909;карниз FLEX;1.50.121;2000;;;;50;100;1000;1000;;;;;;;
4910;карниз FLEX;1.50.122;2000;;;;40;50;1500;1000;;;;;;;
4911;карниз FLEX;1.50.100;2000;;;;55;64;3000;2500;;;;;;;
4912;карниз FLEX;1.50.102;2000;;;;75;72;3500;3500;;;;;;;
4913;карниз FLEX;1.50.103;2000;;;;50;50;1500;1000;;;;;;;
4914;карниз FLEX;1.50.104;2000;;;;77;114;2500;1500;;;;;;;
4915;карниз FLEX;1.50.105;2000;;;;63;60;3000;2500;;;;;;;
4916;карниз FLEX;1.50.106;2000;;;;90;72;3000;2500;;;;;;;
4917;карниз FLEX;1.50.107;2000;;;;108;148;4500;4000;;;;;;;
4918;карниз FLEX;1.50.109;2000;;;;188;84;5000;4500;;;;;;;
4919;карниз FLEX;1.50.110;2000;;;;192;162;4500;4000;;;;;;;
4920;карниз FLEX;1.50.111;2000;;;;113;116;3500;2500;;;;;;;
4921;карниз FLEX;1.50.112;2000;;;;38;76;1500;1000;;;;;;;
4922;карниз FLEX;1.50.113;2000;;;;80;84;4000;3000;;;;;;;
4923;карниз FLEX;1.50.123;2000;;;;30;30;1000;550;;;;;;;
4924;карниз FLEX;1.50.124;2000;;;;57;115;1500;1500;;;;;;;
4925;карниз FLEX;1.50.125;2000;;;;87;91;2500;2000;;;;;;;
4926;карниз FLEX;1.50.126;2000;;;;95;91;2000;1500;;;;;;;
4927;карниз FLEX;1.50.127;2000;;;;47;90;2000;1500;;;;;;;
4928;карниз FLEX;1.50.128;1970;;;;66;145;1500;2000;;;;;;;
4929;карниз FLEX;1.50.129;2000;;;;75;86;2500;1500;;;;;;;
4930;карниз FLEX;1.50.130;2000;;;;30;32;1000;550;;;;;;;
4931;карниз FLEX;1.50.131;2000;;;;135;60;3000;2500;;;;;;;
4932;карниз FLEX;1.50.132;2000;;;;117;216;2500;3000;;;;;;;
4933;карниз FLEX;1.50.133;2000;;;;115;120;3500;2500;;;;;;;
4934;карниз FLEX;1.50.134;2000;;;;194;150;4500;4000;;;;;;;
4935;карниз FLEX;1.50.135;2000;;;;161;41;3500;3500;;;;;;;
4936;карниз FLEX;1.50.136;2000;;;;62;166;550;550;;;;;;;
