IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP160;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4786;карниз;1.50.104;2000;;;;77;114;;;;;;;;Нет;ВР000001293;;4,00;72,50;;Интерьерный декор;карнизы;;1621.00
4787;карниз;1.50.105;2000;;;;63;60;;;;;;;;Нет;ВР000005167;;4,00;72,50;;Интерьерный декор;карнизы;;799.00
4788;карниз;1.50.106;2000;;;;90;72;;;;;;;;Нет;ВР000005174;;4,00;93,00;;Интерьерный декор;карнизы;;863.00
4789;карниз;1.50.107;2000;;;;108;148;;;;;;;;Нет;ВР000005326;;4,00;93,00;;Интерьерный декор;карнизы;;1704.00
4790;карниз;1.50.109;2000;;;;188;84;;;;;;;;Нет;ВР000002930;;4,00;93,00;;Интерьерный декор;карнизы;;1850.00
4791;карниз;1.50.110;2000;;;;192;162;;;;;;;;Нет;ВР000002931;;4,50;103,00;;Интерьерный декор;карнизы;;2094.00
4792;карниз;1.50.111;2000;;;;113;116;;;;;;;;Нет;ВР000001285;;4,50;82,80;;Интерьерный декор;карнизы;;1714.00
4793;карниз;1.50.112;2000;;;;38;76;;;;;;;;Нет;ВР000001043;;4,00;72,50;;Интерьерный декор;карнизы;;850.00
4794;карниз;1.50.113;2000;;;;84;80;;;;;;;;Нет;ВР000001044;;4,00;93,00;;Интерьерный декор;карнизы;;901.00
4795;карниз;1.50.123;2000;;;;30;30;;;;;;;;Нет;ВР000001718;;4,00;93,00;;Интерьерный декор;карнизы;;605.00
4796;карниз;1.50.124;2000;;;;57;115;;;;;;;;Нет;ВР000001972;;4,00;93,00;;Интерьерный декор;карнизы;;1547.00
4797;карниз;1.50.125;2000;;;;87;91;;;;;;;;Нет;ВР000002129;;4,00;72,50;;Интерьерный декор;карнизы;;1270.00
4798;карниз;1.50.126;2000;;;;95;91;;;;;;;;Нет;ВР001003726;;4,00;72,50;;Интерьерный декор;карнизы;;890.00
4799;карниз;1.50.127;2000;;;;47;90;;;;;;;;Нет;ВР000002929;;4,00;93,00;;Интерьерный декор;карнизы;;863.00
4800;карниз;1.50.128;1970;;;;66;145;;;;;;;;Нет;ВР000002329;;4,00;93,00;;Интерьерный декор;карнизы;;1510.00
4801;карниз;1.50.129;2000;;;;75;86;;;;;;;;Нет;ВР000005168;;4,00;93,00;;Интерьерный декор;карнизы;;871.00
4802;карниз;1.50.130;2000;;;;30;32;;;;;;;;Нет;ВР000001049;;4,00;93,00;;Интерьерный декор;карнизы;;610.00
4803;карниз;1.50.131;2000;;;;135;60;;;;;;;;Нет;ВР000001081;;4,00;93,00;;Интерьерный декор;карнизы;;1487.00
4804;карниз;1.50.132;2000;;;;117;216;;;;;;;;Нет;ВР000001050;;4,50;103,00;;Интерьерный декор;карнизы;;2217.00
4805;карниз;1.50.133;2000;;;;115;120;;;;;;;;Нет;ВР000001076;;4,50;82,80;;Интерьерный декор;карнизы;;1510.00
4806;карниз;1.50.134;2000;;;;194;150;;;;;;;;Нет;ВР000001051;;4,00;93,00;;Интерьерный декор;карнизы;;2142.00
4807;карниз;1.50.135;2000;;;;161;41;;;;;;;;Нет;ВР000001303;;4,00;93,00;;Интерьерный декор;карнизы;;1560.00
4808;карниз;1.50.136;2000;;;;62;166;;;;;;;;Нет;ВР000002167;;4,50;103,00;;Интерьерный декор;карнизы;;1731.00
4809;карниз;1.50.137;2000;;;;183;190;;;;;;;;Нет;ВР000001827;;4,50;103,00;;Интерьерный декор;карнизы;;2266.00
4810;карниз;1.50.138;2000;;;;156;161;;;;;;;;Нет;ВР000002343;;4,50;103,00;;Интерьерный декор;карнизы;;1899.00
4811;карниз;1.50.139;2000;;;;98;98;;;;;;;;Нет;ВР000006023;;4,00;93,00;;Интерьерный декор;карнизы;;1471.00
4812;карниз;1.50.140;2000;;;;57;58;;;;;;;;Нет;ВР000001052;;4,00;93,00;;Интерьерный декор;карнизы;;847.00
4813;карниз;1.50.141;2000;;;;70;70;;;;;;;;Нет;ВР000005170;;4,00;93,00;;Интерьерный декор;карнизы;;847.00
4814;карниз;1.50.142;2000;;;;196;45;;;;;;;;Нет;ВР000001544;;4,00;93,00;;Интерьерный декор;карнизы;;1899.00
4815;карниз;1.50.143;2000;;;;70;73;;;;;;;;Нет;ВР000005171;;4,00;93,00;;Интерьерный декор;карнизы;;832.00
4816;карниз;1.50.144;2000;;;;82;80;;;;;;;;Нет;ВР000005173;;4,00;93,00;;Интерьерный декор;карнизы;;910.00
