IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP162;IP_PROP149;CV_PRICE_1
4944;карниз FLEX;1.50.144;Да;2000;;;;82;80;2500;1500;;;;;;;;1500.00
4945;карниз FLEX;1.50.145;Да;2000;;;;264;90;1500;550;4500;;;;;;;3980.00
4946;карниз FLEX;1.50.146;Да;2000;;;;74;148;1500;1500;;;;;;;;2535.00
4947;карниз FLEX;1.50.147;Да;2000;;;;127;173;4500;4500;;;;;;;;3138.00
4948;карниз FLEX;1.50.148;Да;2000;;;;120;115;3500;3000;;;;;;;;2667.00
4949;карниз FLEX;1.50.149;Да;2000;;;;188;185;4500;4000;;;;;;;;4042.00
4950;карниз FLEX;1.50.150;Да;2000;;;;40;41;1500;1000;;;;;;;;1026.00
4951;карниз FLEX;1.50.151;Да;2000;;;;144;170;3500;3500;;;;;;;;4042.00
4952;карниз FLEX;1.50.152;Да;2000;;;;155;172;3500;3500;;;;;;;;4042.00
4953;карниз FLEX;1.50.153;Да;2000;;;;160;170;3000;2500;;;;;;;;4042.00
4954;карниз FLEX;1.50.154;Да;2000;;;;23;23;1000;550;;;;;;;;937.00
4955;карниз FLEX;1.50.155;Да;2000;;;;17;26;550;550;;;;;;;;928.00
4956;карниз FLEX;1.50.156;Да;2000;;;;30;30;550;550;;;;;;;;1032.00
4957;карниз FLEX;1.50.157;Да;2000;;;;31;33;1000;550;;;;;;;;960.00
4958;карниз FLEX;1.50.158;Да;2000;;;;33;33;1000;550;;;;;;;;967.00
4959;карниз FLEX;1.50.159;Да;2000;;;;22;45;1000;550;;;;;;;;995.00
4960;карниз FLEX;1.50.160;Да;2000;;;;70;51;2000;1500;;;;;;;;1318.00
4961;карниз FLEX;1.50.162;Да;2000;;;;61;84;2000;1500;;;;;;;;1372.00
4962;карниз FLEX;1.50.163;Да;2000;;;;68;148;2000;2000;;;;;;;;2634.00
4963;карниз FLEX;1.50.164;Да;2000;;;;123;130;3500;3000;;;;;;;;2896.00
4964;карниз FLEX;1.50.165;Да;2000;;;;81;83;2500;2000;;;;;;;;1378.00
4965;карниз FLEX;1.50.166;Да;2000;;;;86;142;2500;2500;;;;;;;;2792.00
4966;карниз FLEX;1.50.168;Да;2000;;;;120;119;3000;3000;;;;;;;;2830.00
4967;карниз FLEX;1.50.169;Да;2000;;;;95;102;2500;2000;;;;;;;;2667.00
4968;карниз FLEX;1.50.170;Да;2000;;;;113;80;2500;2000;;;;;;;;1515.00
4969;карниз FLEX;1.50.171;Да;2000;;;;30;45;1000;550;;;;;;;;989.00
4970;карниз FLEX;1.50.172;Да;2000;;;;47;44;1500;1000;;;;;;;;1023.00
4971;карниз FLEX;1.50.173;Да;2000;;;;40;55;1500;1000;;;;;;;;1032.00
4972;карниз FLEX;1.50.174;Да;2000;;;;36;61;1500;1000;;;;;;;;1052.00
4973;карниз FLEX;1.50.175;Да;2000;;;;119;133;2500;2000;;;;;;;;2815.00
4974;карниз FLEX;1.50.176;Да;2000;;;;67;131;1500;2000;;;;;;;;2576.00
4975;карниз FLEX;1.50.177;Да;2000;;;;55;120;1500;1500;;;;;;;;1534.00
4976;карниз FLEX;1.50.180;Да;2000;;;;94;120;2500;2000;;;;;;;;2613.00
4977;карниз FLEX;1.50.181;Да;2000;;;;38;75;1500;1000;;;;;;;;1471.00
