IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4812;карниз;1.50.140;Нет;Интерьерный декор;карнизы;;700.00
4813;карниз;1.50.141;Нет;Интерьерный декор;карнизы;;700.00
4814;карниз;1.50.142;Нет;Интерьерный декор;карнизы;;1569.00
4815;карниз;1.50.143;Нет;Интерьерный декор;карнизы;;687.00
4816;карниз;1.50.144;Нет;Интерьерный декор;карнизы;;751.00
4817;карниз;1.50.145;Нет;Интерьерный декор;карнизы;;1991.00
4818;карниз;1.50.146;Нет;Интерьерный декор;карнизы;;1269.00
4819;карниз;1.50.147;Нет;Интерьерный декор;карнизы;;1569.00
4820;карниз;1.50.148;Нет;Интерьерный декор;карнизы;;1335.00
4821;карниз;1.50.149;Нет;Интерьерный декор;карнизы;;2021.00
4822;карниз;1.50.150;Нет;Интерьерный декор;карнизы;;514.00
4823;карниз;1.50.151;Нет;Интерьерный декор;карнизы;;2021.00
4824;карниз;1.50.152;Нет;Интерьерный декор;карнизы;;2021.00
4825;карниз;1.50.153;Нет;Интерьерный декор;карнизы;;2021.00
4826;карниз;1.50.154;Нет;Интерьерный декор;карнизы;;469.00
4827;карниз;1.50.155;Нет;Интерьерный декор;карнизы;;465.00
4828;карниз;1.50.156;Нет;Интерьерный декор;карнизы;;516.00
4829;карниз;1.50.157;Нет;Интерьерный декор;карнизы;;480.00
4830;карниз;1.50.158;Нет;Интерьерный декор;карнизы;;484.00
4831;карниз;1.50.159;Нет;Интерьерный декор;карнизы;;499.00
4832;карниз;1.50.160;Нет;Интерьерный декор;карнизы;;660.00
4833;карниз;1.50.162;Нет;Интерьерный декор;карнизы;;687.00
4834;карниз;1.50.163;Нет;Интерьерный декор;карнизы;;1317.00
4835;карниз;1.50.164;Нет;Интерьерный декор;карнизы;;1448.00
4836;карниз;1.50.165;Нет;Интерьерный декор;карнизы;;689.00
4837;карниз;1.50.166;Нет;Интерьерный декор;карнизы;;1396.00
4838;карниз;1.50.167;Нет;Интерьерный декор;карнизы;;1416.00
4839;карниз;1.50.168;Нет;Интерьерный декор;карнизы;;1416.00
4840;карниз;1.50.169;Нет;Интерьерный декор;карнизы;;1335.00
4841;карниз;1.50.170;Нет;Интерьерный декор;карнизы;;758.00
4842;карниз;1.50.171;Нет;Интерьерный декор;карнизы;;495.00
4843;карниз;1.50.172;Нет;Интерьерный декор;карнизы;;513.00
4844;карниз;1.50.173;Нет;Интерьерный декор;карнизы;;516.00
4845;карниз;1.50.174;Нет;Интерьерный декор;карнизы;;527.00
4846;карниз;1.50.175;Нет;Интерьерный декор;карнизы;;1408.00
4847;карниз;1.50.176;Нет;Интерьерный декор;карнизы;;1289.00
4848;карниз;1.50.177;Нет;Интерьерный декор;карнизы;;767.00
4849;карниз;1.50.180;Нет;Интерьерный декор;карнизы;;1307.00
4850;карниз;1.50.181;Нет;Интерьерный декор;карнизы;;736.00
4851;карниз;1.50.182;Нет;Интерьерный декор;карнизы;;723.00
4852;карниз;1.50.183;Нет;Интерьерный декор;карнизы;;786.00
4853;карниз;1.50.184;Нет;Интерьерный декор;карнизы;;786.00
4854;карниз;1.50.185;Нет;Интерьерный декор;карнизы;;1377.00
4855;карниз;1.50.186;Нет;Интерьерный декор;карнизы;;786.00
4856;карниз;1.50.187;Нет;Интерьерный декор;карнизы;;698.00
