IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP146;IP_PROP147;IP_PROP148;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP160;IP_PROP161;IP_PROP162;IP_PROP163;IP_PROP164;IP_PROP165;IP_PROP167;IP_PROP149;IC_GROUP0;IC_GROUP1;IC_GROUP2;CV_PRICE_1
4806;карниз;;;2000;;;;1.50.134;194;150;;;;;;;;ВР000001051;КАРНИЗ 1.50.134;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1770.00
4807;карниз;;;2000;;;;1.50.135;161;41;;;;;;;;ВР000001303;КАРНИЗ 1.50.135;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1289.00
4808;карниз;;;2000;;;;1.50.136;62;166;;;;;;;;ВР000002167;КАРНИЗ 1.50.136;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1430.00
4809;карниз;;;2000;;;;1.50.137;183;190;;;;;;;;ВР000001827;КАРНИЗ 1.50.137;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1872.00
4810;карниз;;;2000;;;;1.50.138;156;161;;;;;;;;ВР000002343;КАРНИЗ 1.50.138;;4,50;103,00;Нет;;;Интерьерный декор;карнизы;;1569.00
4811;карниз;;;2000;;;;1.50.139;98;98;;;;;;;;ВР000006023;КАРНИЗ 1.50.139;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1215.00
4812;карниз;;;2000;;;;1.50.140;57;58;;;;;;;;ВР000001052;КАРНИЗ 1.50.140;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;700.00
4813;карниз;;;2000;;;;1.50.141;70;70;;;;;;;;ВР000005170;КАРНИЗ 1.50.141;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;700.00
4814;карниз;;;2000;;;;1.50.142;196;45;;;;;;;;ВР000001544;КАРНИЗ 1.50.142;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;1569.00
4815;карниз;;;2000;;;;1.50.143;70;73;;;;;;;;ВР000005171;КАРНИЗ 1.50.143;;4,00;93,00;Нет;;;Интерьерный декор;карнизы;;687.00
