IE_XML_ID;IE_NAME;IP_PROP144;IP_PROP151;IP_PROP152;IP_PROP153;IP_PROP142;IP_PROP143;IP_PROP145;IP_PROP150;IP_PROP154;IP_PROP155;IP_PROP156;IP_PROP157;IP_PROP162;IP_PROP149;IP_PROP146;IP_PROP147;IP_PROP148;CV_PRICE_1
4979;карниз 1.50.183 гибкий;2000;;;;1.50.183;84;96;;;;;Да;;;2000;1500;;2916.00
4980;карниз 1.50.184 гибкий;2000;;;;1.50.184;73;73;;;;;Да;;;2000;1500;;2916.00
4981;карниз 1.50.185 гибкий;2000;;;;1.50.185;98;115;;;;;Да;;;2000;1500;;5106.00
4982;карниз 1.50.186 гибкий;2000;;;;1.50.186;55;82;;;;;Да;;;1500;1000;;2916.00
4983;карниз 1.50.187 гибкий;2000;;;;1.50.187;50;52;;;;;Да;;;1500;1000;;2589.00
4984;карниз 1.50.188 гибкий;2000;;;;1.50.188;50;53;;;;;Да;;;1500;1000;;2589.00
4985;карниз 1.50.190 гибкий;2000;;;;1.50.190;25;40;;;;;Да;;;1000;550;;1942.00
4986;карниз 1.50.191 гибкий;2000;;;;1.50.191;25;40;;;;;Да;;;1000;550;;1904.00
4987;карниз 1.50.192 гибкий;2000;;;;1.50.192;40;70;;;;;Да;;;1500;1000;;2640.00
4988;карниз 1.50.193 гибкий;2000;;;;1.50.193;57;90;;;;;Да;;;1500;1000;;2720.00
4989;карниз 1.50.194 гибкий;2000;;;;1.50.194;50;50;;;;;Да;;;1500;1000;;2503.00
4990;карниз 1.50.195 гибкий;2000;;;;1.50.195;53;53;;;;;Да;;;1500;1000;;2728.00
4991;карниз 1.50.197 гибкий;2000;;;;1.50.197;73;77;;;;;Да;;;2000;1500;;2916.00
4992;карниз 1.50.200 гибкий;2000;;;;1.50.200;55;55;;;;;Да;;;1500;1000;;2589.00
4994;карниз 1.50.203 гибкий;2000;;;;1.50.203;128;116;;;;;Да;;;2500;1500;;5132.00
4995;карниз 1.50.209 гибкий;2000;;;;1.50.209;117;152;;;;;Да;;;3500;;;6040.00
4997;карниз 1.50.220 гибкий;2000;;;;1.50.220;122;127;;;;;Да;;;3500;;;5600.00
4998;карниз 1.50.221 гибкий;2000;;;;1.50.221;143;150;;;;;Да;;;>4000;;;6557.00
