IE_XML_ID;IE_NAME;IP_PROP142;IP_PROP157;IP_PROP252;IP_PROP253;IP_PROP254;IP_PROP255;IP_PROP257;IP_PROP258;CV_PRICE_1;IP_PROP565;IP_PROP600;IP_PROP670
4885;карниз 1.50.255;1.50.255;Нет;109,04;15328;960;693;36,36;36,36;2318.00;117,8;434526;2079
4886;карниз 1.50.256;1.50.256;Нет;125,27;17609;1101;796;42;42;2663.00;135,3;499264;2389
4887;карниз 1.50.257;1.50.257;Нет;44,78;6289;392;285;15,15;15,15;952.00;48,2;178519;854
4888;карниз 1.50.258;1.50.258;Нет;41,21;5799;362;263;13,84;13,84;876.00;44,5;164296;785
4889;карниз 1.50.259;1.50.259;Нет;58,89;8293;518;375;19,92;19,92;1252.00;63,7;234919;1124
4890;карниз 1.50.260;1.50.260;Нет;152,03;21382;1338;966;50,65;50,65;3232.00;164,3;605688;2901
4891;карниз 1.50.261;1.50.261;Нет;102,55;12173;945;652;36,22;36,22;1837.00;110,8;355246;1958
4892;карниз 1.50.262;1.50.262;Нет;126,49;17801;1113;804;42,42;42,42;2689.00;136,6;504168;2414
4893;карниз 1.50.264;1.50.264;Нет;155;21809;1365;985;51,95;51,95;3295.00;167,6;617459;2957
4894;карниз 1.50.265;1.50.265;Нет;65,43;9210;586;416;22,52;22,52;1391.00;70,7;260912;1249
4895;карниз 1.50.266;1.50.266;Нет;58,89;8293;528;375;20,35;20,35;1252.00;63,7;234919;1124
4896;карниз 1.50.267;1.50.267;Нет;127,01;17865;1118;807;;;2700.00;137,3;506130;2421
4897;карниз 1.50.268;1.50.268;Нет;130,63;18376;1150;830;43,73;43,73;2777.00;141,2;520352;2490
4898;карниз 1.50.269;1.50.269;Нет;137,69;19378;1212;875;;;2927.00;148,9;548798;2628
4899;карниз 1.50.270;1.50.270;Нет;148,13;20849;1303;941;49,34;49,34;3149.00;160,2;589995;2825
4900;карниз 1.50.271;1.50.271;Нет;189,67;26669;1670;1205;63,21;63,21;4032.00;205;755762;3616
4901;карниз 1.50.273;1.50.273;Нет;158,48;22278;1395;1006;73,17;73,17;3369.00;171,3;631191;3022
4902;карниз 1.50.114 гибкий;1.50.114;Да;117,74;16586;1038;750;39,82;39,82;2503.00;127,3;469838;2246
4903;карниз 1.50.115 гибкий;1.50.115;Да;95,11;13388;837;606;32,02;32,02;2022.00;102,8;379598;1817
4904;карниз 1.50.116 гибкий;1.50.116;Да;240,19;33812;2114;1526;80,53;80,53;5106.00;259,6;957330;4582
4905;карниз 1.50.117 гибкий;1.50.117;Да;239,53;29590;2222;1522;81,59;81,59;4476.00;259;839628;4569
4906;карниз 1.50.118 гибкий;1.50.118;Да;266,48;37478;2345;1694;89,19;89,19;5665.00;288,1;1062286;5082
4907;карниз 1.50.119 гибкий;1.50.119;Да;130,82;18420;1153;832;44,16;44,16;2781.00;141,4;521824;2496
4908;карниз 1.50.120 гибкий;1.50.120;Да;266,15;37436;2408;1692;91,77;91,77;5658.00;287,7;1060322;5075
4909;карниз 1.50.121 гибкий;1.50.121;Да;128,33;18078;1129;816;42,69;42,69;2728.00;138,7;512014;2447
4910;карниз 1.50.122 гибкий;1.50.122;Да;84,39;11896;742;538;28,5;28,5;1794.00;91,1;336438;1609
4911;карниз 1.50.100 гибкий;1.50.100;Да;116,94;14454;1039;744;39,82;39,82;2182.00;126,2;409024;2230
4912;карниз 1.50.102 гибкий;1.50.102;Да;93,84;13218;826;598;32,02;32,02;1995.00;101,4;374692;1790
4913;карниз 1.50.103 гибкий;1.50.103;Да;94,64;13346;832;602;30,81;30,81;2012.00;102,2;377636;1806
4914;карниз 1.50.104 гибкий;1.50.104;Да;233,55;32874;2056;1484;77,92;77,92;4965.00;252,5;930846;4454
4915;карниз 1.50.105 гибкий;1.50.105;Да;115,15;16202;1013;732;37,46;37,46;2448.00;124,4;459048;2197
4916;карниз 1.50.106 гибкий;1.50.106;Да;124,28;17482;1094;790;39,97;39,97;2642.00;134,3;496322;2371
4917;карниз 1.50.107 гибкий;1.50.107;Да;245,45;34536;2161;1562;82,26;82,26;5218.00;265,3;978910;4680
4918;карниз 1.50.109 гибкий;1.50.109;Да;266,48;37478;2345;1694;89,19;89,19;5665.00;288,1;1062286;5082
